"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.400,0.000,-0.001627,-0.001627,0.006,-0.01,0.11
0.600,0.002,-0.000646,-0.000646,0.007,0.00,0.13
0.800,0.002,0.000187,0.000187,0.007,0.00,0.13
1.000,0.004,0.001194,0.001194,0.008,0.01,0.15
1.200,0.005,0.002142,0.002142,0.010,0.01,0.18
1.400,0.006,0.003250,0.003250,0.008,0.02,0.15
1.600,0.006,0.004077,0.004077,0.009,0.03,0.16
1.800,0.007,0.004968,0.004968,0.010,0.03,0.18
2.000,0.008,0.006275,0.006275,0.010,0.04,0.19
2.200,0.010,0.007108,0.007108,0.010,0.05,0.19
2.400,0.010,0.008393,0.008393,0.011,0.06,0.20
2.600,0.012,0.009131,0.009131,0.011,0.06,0.20
2.800,0.012,0.010097,0.010097,0.011,0.07,0.20
3.000,0.014,0.010986,0.010986,0.012,0.08,0.22
3.200,0.014,0.012067,0.012067,0.012,0.08,0.22
3.400,0.016,0.013054,0.013054,0.011,0.09,0.20
3.600,0.016,0.014209,0.014209,0.012,0.10,0.22
3.800,0.018,0.015468,0.015468,0.011,0.11,0.19
4.000,0.018,0.016088,0.016088,0.012,0.11,0.22
4.200,0.020,0.017667,0.017667,0.012,0.12,0.22
4.400,0.020,0.018235,0.018235,0.012,0.13,0.22
4.600,0.022,0.019545,0.019545,0.013,0.14,0.24
4.800,0.022,0.020555,0.020555,0.013,0.14,0.23
5.000,0.024,0.021296,0.021296,0.014,0.15,0.25
5.200,0.024,0.022434,0.022434,0.013,0.16,0.23
5.400,0.026,0.023634,0.023634,0.013,0.17,0.24
5.600,0.026,0.024460,0.024460,0.015,0.17,0.27
5.800,0.028,0.025764,0.025764,0.015,0.18,0.27
6.000,0.028,0.026688,0.026688,0.015,0.19,0.27
6.200,0.030,0.027772,0.027772,0.014,0.19,0.26
6.400,0.030,0.028706,0.028706,0.014,0.20,0.27
6.600,0.032,0.029526,0.029526,0.016,0.21,0.29
6.800,0.032,0.030800,0.030800,0.017,0.22,0.31
7.000,0.034,0.031689,0.031689,0.017,0.22,0.31
7.200,0.035,0.032898,0.032898,0.017,0.23,0.32
7.400,0.036,0.033816,0.033816,0.017,0.24,0.31
7.600,0.036,0.034412,0.034412,0.016,0.24,0.30
7.800,0.038,0.035499,0.035499,0.018,0.25,0.33
8.000,0.038,0.036661,0.036661,0.017,0.26,0.32
8.200,0.040,0.038130,0.038130,0.016,0.27,0.30
8.400,0.040,0.039054,0.039054,0.018,0.27,0.34
8.600,0.042,0.039674,0.039674,0.018,0.28,0.33
8.800,0.042,0.040577,0.040577,0.018,0.28,0.33
9.000,0.044,0.042044,0.042044,0.017,0.29,0.32
9.200,0.044,0.043149,0.043149,0.018,0.30,0.33
