"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.001,-0.005484,-0.005484,0.015,-0.04,0.32
0.350,0.002,-0.004734,-0.004734,0.018,-0.03,0.37
0.450,0.002,-0.004195,-0.004195,0.018,-0.03,0.38
0.550,0.002,-0.003603,-0.003603,0.020,-0.02,0.42
0.650,0.003,-0.003389,-0.003389,0.021,-0.02,0.43
0.750,0.004,-0.003102,-0.003102,0.021,-0.02,0.43
0.850,0.004,-0.002335,-0.002335,0.023,-0.02,0.48
0.950,0.005,-0.001958,-0.001958,0.022,-0.01,0.44
1.050,0.005,-0.001517,-0.001517,0.023,-0.01,0.48
1.150,0.006,-0.001152,-0.001152,0.023,-0.01,0.46
1.250,0.006,-0.000631,-0.000631,0.026,0.00,0.54
1.350,0.006,-0.000287,-0.000287,0.025,0.00,0.52
1.450,0.007,0.000412,0.000412,0.026,0.00,0.54
1.550,0.008,0.000874,0.000874,0.027,0.01,0.55
1.650,0.008,0.001318,0.001318,0.027,0.01,0.57
1.750,0.008,0.001718,0.001718,0.029,0.01,0.59
1.850,0.009,0.002026,0.002026,0.029,0.01,0.61
1.950,0.010,0.002483,0.002483,0.030,0.02,0.62
2.050,0.010,0.003212,0.003212,0.029,0.02,0.61
2.150,0.010,0.003932,0.003932,0.031,0.03,0.64
2.250,0.011,0.004127,0.004127,0.030,0.03,0.62
2.350,0.012,0.004471,0.004471,0.032,0.03,0.67
2.450,0.012,0.004764,0.004764,0.033,0.03,0.67
2.550,0.012,0.005428,0.005428,0.032,0.04,0.66
2.650,0.013,0.006020,0.006020,0.032,0.04,0.67
2.750,0.014,0.006533,0.006533,0.034,0.04,0.70
2.850,0.014,0.007155,0.007155,0.034,0.05,0.71
2.950,0.014,0.007662,0.007662,0.036,0.05,0.75
3.050,0.015,0.007940,0.007940,0.036,0.05,0.74
3.150,0.016,0.008343,0.008343,0.036,0.06,0.74
3.250,0.016,0.008891,0.008891,0.036,0.06,0.74
3.350,0.016,0.009427,0.009427,0.038,0.06,0.78
3.450,0.018,0.009987,0.009987,0.039,0.07,0.80
3.550,0.018,0.010192,0.010192,0.039,0.07,0.80
3.650,0.018,0.010749,0.010749,0.038,0.07,0.79
3.750,0.018,0.011543,0.011543,0.041,0.08,0.84
3.850,0.019,0.011818,0.011818,0.041,0.08,0.85
3.950,0.020,0.012360,0.012360,0.041,0.08,0.85
4.050,0.020,0.012722,0.012722,0.042,0.08,0.87
4.150,0.020,0.013516,0.013516,0.042,0.09,0.87
