"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.004035,-0.004035,0.011,-0.03,0.20
0.350,0.000,-0.003081,-0.003081,0.011,-0.02,0.20
0.450,0.001,-0.002969,-0.002969,0.012,-0.02,0.22
0.550,0.002,-0.002637,-0.002637,0.012,-0.02,0.22
0.650,0.002,-0.002169,-0.002169,0.011,-0.02,0.21
0.750,0.002,-0.001283,-0.001283,0.012,-0.01,0.23
0.850,0.003,-0.000930,-0.000930,0.015,-0.01,0.28
0.950,0.004,-0.000418,-0.000418,0.013,0.00,0.25
1.050,0.004,-0.000264,-0.000264,0.012,0.00,0.23
1.150,0.005,0.000415,0.000415,0.013,0.00,0.23
1.250,0.005,0.001013,0.001013,0.014,0.01,0.27
1.350,0.006,0.001552,0.001552,0.014,0.01,0.26
1.450,0.006,0.001641,0.001641,0.014,0.01,0.26
1.550,0.006,0.002160,0.002160,0.015,0.02,0.28
1.650,0.007,0.002832,0.002832,0.016,0.02,0.30
1.750,0.008,0.003499,0.003499,0.017,0.03,0.31
1.850,0.008,0.003662,0.003662,0.016,0.03,0.29
1.950,0.008,0.004228,0.004228,0.016,0.03,0.30
2.050,0.009,0.004586,0.004586,0.017,0.03,0.32
2.150,0.010,0.005674,0.005674,0.018,0.04,0.32
2.250,0.010,0.005688,0.005688,0.016,0.04,0.29
2.350,0.010,0.006085,0.006085,0.016,0.04,0.29
2.450,0.011,0.006669,0.006669,0.016,0.05,0.30
2.550,0.012,0.007380,0.007380,0.018,0.05,0.33
2.650,0.012,0.007611,0.007611,0.019,0.06,0.34
2.750,0.012,0.008106,0.008106,0.018,0.06,0.32
2.850,0.013,0.008684,0.008684,0.018,0.06,0.33
2.950,0.014,0.009155,0.009155,0.018,0.07,0.32
3.050,0.014,0.009694,0.009694,0.017,0.07,0.31
3.150,0.014,0.009999,0.009999,0.018,0.07,0.32
3.250,0.015,0.010236,0.010236,0.017,0.07,0.32
3.350,0.016,0.011199,0.011199,0.018,0.08,0.33
3.450,0.016,0.011489,0.011489,0.019,0.08,0.34
3.550,0.016,0.012106,0.012106,0.018,0.09,0.33
3.650,0.017,0.012541,0.012541,0.019,0.09,0.34
3.750,0.018,0.012914,0.012914,0.018,0.09,0.34
3.850,0.018,0.013291,0.013291,0.019,0.10,0.35
3.950,0.018,0.014209,0.014209,0.018,0.10,0.33
4.050,0.019,0.014547,0.014547,0.020,0.11,0.37
4.150,0.020,0.014974,0.014974,0.020,0.11,0.36
4.250,0.020,0.015267,0.015267,0.018,0.11,0.34
4.350,0.020,0.016289,0.016289,0.020,0.12,0.36
4.450,0.021,0.016061,0.016061,0.019,0.12,0.35
4.550,0.022,0.017178,0.017178,0.019,0.13,0.34
4.650,0.022,0.017607,0.017607,0.020,0.13,0.37
4.750,0.022,0.018037,0.018037,0.020,0.13,0.37
4.850,0.023,0.018209,0.018209,0.020,0.13,0.36
4.950,0.024,0.018710,0.018710,0.021,0.14,0.38
5.050,0.024,0.019305,0.019305,0.021,0.14,0.39
5.150,0.024,0.019983,0.019983,0.020,0.15,0.37
5.250,0.025,0.020449,0.020449,0.021,0.15,0.39
5.350,0.026,0.020964,0.020964,0.022,0.15,0.40
5.450,0.026,0.020828,0.020828,0.021,0.15,0.39
5.550,0.026,0.022200,0.022200,0.023,0.16,0.42
5.650,0.027,0.022383,0.022383,0.022,0.16,0.41
5.750,0.028,0.022691,0.022691,0.023,0.17,0.42
5.850,0.028,0.023195,0.023195,0.022,0.17,0.40
5.950,0.028,0.023275,0.023275,0.023,0.17,0.43
6.050,0.029,0.023743,0.023743,0.022,0.17,0.41
6.150,0.030,0.024211,0.024211,0.022,0.18,0.41
6.250,0.030,0.024993,0.024993,0.021,0.18,0.39
6.350,0.030,0.025382,0.025382,0.023,0.19,0.41
6.450,0.031,0.025639,0.025639,0.024,0.19,0.44
6.550,0.032,0.027029,0.027029,0.023,0.20,0.43
6.650,0.032,0.026703,0.026703,0.024,0.20,0.44
6.750,0.032,0.027408,0.027408,0.023,0.20,0.43
6.850,0.032,0.027607,0.027607,0.023,0.20,0.42
6.950,0.034,0.028214,0.028214,0.024,0.21,0.44
7.050,0.034,0.029384,0.029384,0.024,0.22,0.43
7.150,0.035,0.029509,0.029509,0.024,0.22,0.45
7.250,0.035,0.029749,0.029749,0.025,0.22,0.46
7.350,0.035,0.030217,0.030217,0.025,0.22,0.46
7.450,0.036,0.030661,0.030661,0.025,0.22,0.45
7.550,0.036,0.031624,0.031624,0.024,0.23,0.44
7.650,0.036,0.031737,0.031737,0.025,0.23,0.47
7.750,0.038,0.032483,0.032483,0.026,0.24,0.49
7.850,0.038,0.032916,0.032916,0.026,0.24,0.47
7.950,0.038,0.033375,0.033375,0.026,0.24,0.48
8.050,0.038,0.034071,0.034071,0.026,0.25,0.47
8.150,0.039,0.034347,0.034347,0.025,0.25,0.47
8.250,0.040,0.035031,0.035031,0.026,0.26,0.47
8.350,0.040,0.035715,0.035715,0.027,0.26,0.49
8.450,0.041,0.035792,0.035792,0.028,0.26,0.51
8.550,0.042,0.036548,0.036548,0.027,0.27,0.50
8.650,0.042,0.037123,0.037123,0.026,0.27,0.48
8.750,0.043,0.037632,0.037632,0.027,0.28,0.49
8.850,0.043,0.038145,0.038145,0.028,0.28,0.51
8.950,0.044,0.038533,0.038533,0.027,0.28,0.50
9.050,0.044,0.038693,0.038693,0.028,0.28,0.51
9.150,0.044,0.039757,0.039757,0.029,0.29,0.53
9.250,0.044,0.039866,0.039866,0.029,0.29,0.54
9.350,0.045,0.040352,0.040352,0.029,0.30,0.54
9.450,0.046,0.040625,0.040625,0.029,0.30,0.53
9.550,0.046,0.041410,0.041410,0.028,0.30,0.52
9.650,0.047,0.042136,0.042136,0.029,0.31,0.54
9.750,0.048,0.042704,0.042704,0.030,0.31,0.55
9.850,0.048,0.042755,0.042755,0.029,0.31,0.54
9.950,0.048,0.043300,0.043300,0.028,0.32,0.52
10.050,0.048,0.043750,0.043750,0.030,0.32,0.55
10.150,0.050,0.044624,0.044624,0.031,0.33,0.57
10.250,0.050,0.044823,0.044823,0.030,0.33,0.55
10.350,0.051,0.045510,0.045510,0.031,0.33,0.56
10.450,0.051,0.045676,0.045676,0.032,0.33,0.59
10.550,0.051,0.046470,0.046470,0.031,0.34,0.56
10.650,0.052,0.047003,0.047003,0.031,0.34,0.57
10.750,0.052,0.047504,0.047504,0.030,0.35,0.56
10.850,0.052,0.047765,0.047765,0.032,0.35,0.59
10.950,0.054,0.048559,0.048559,0.031,0.36,0.58
11.050,0.054,0.048947,0.048947,0.033,0.36,0.60
11.150,0.054,0.049658,0.049658,0.032,0.36,0.60
11.250,0.054,0.049957,0.049957,0.032,0.37,0.60
11.350,0.056,0.050559,0.050559,0.033,0.37,0.61
11.450,0.056,0.051027,0.051027,0.033,0.37,0.61
11.550,0.056,0.051782,0.051782,0.034,0.38,0.62
11.650,0.056,0.051990,0.051990,0.034,0.38,0.63
11.750,0.057,0.052653,0.052653,0.033,0.39,0.61
11.850,0.058,0.053187,0.053187,0.035,0.39,0.64
11.950,0.058,0.053841,0.053841,0.034,0.39,0.63
12.050,0.058,0.054185,0.054185,0.035,0.40,0.64
12.150,0.059,0.054754,0.054754,0.035,0.40,0.64
12.250,0.060,0.054940,0.054940,0.035,0.40,0.65
12.350,0.060,0.055957,0.055957,0.036,0.41,0.66
12.450,0.061,0.056306,0.056306,0.035,0.41,0.64
12.550,0.061,0.056730,0.056730,0.036,0.42,0.66
12.650,0.062,0.057168,0.057168,0.036,0.42,0.66
12.750,0.062,0.057722,0.057722,0.037,0.42,0.67
12.850,0.063,0.058386,0.058386,0.038,0.43,0.69
12.950,0.064,0.058922,0.058922,0.038,0.43,0.69
13.050,0.064,0.059299,0.059299,0.038,0.43,0.69
13.150,0.064,0.059835,0.059835,0.039,0.44,0.71
13.250,0.064,0.060339,0.060339,0.039,0.44,0.72
13.350,0.066,0.060937,0.060937,0.039,0.45,0.72
13.450,0.066,0.061417,0.061417,0.038,0.45,0.70
13.550,0.066,0.061935,0.061935,0.038,0.45,0.70
13.650,0.066,0.062226,0.062226,0.039,0.46,0.71
13.750,0.068,0.063038,0.063038,0.040,0.46,0.74
13.850,0.068,0.063313,0.063313,0.039,0.46,0.72
13.950,0.068,0.064027,0.064027,0.042,0.47,0.77
14.050,0.068,0.064569,0.064569,0.040,0.47,0.74
14.150,0.069,0.064954,0.064954,0.040,0.48,0.74
14.250,0.070,0.065508,0.065508,0.042,0.48,0.76
14.350,0.070,0.066190,0.066190,0.041,0.48,0.76
14.450,0.071,0.066391,0.066391,0.041,0.49,0.75
14.550,0.071,0.067132,0.067132,0.043,0.49,0.80
14.650,0.072,0.067493,0.067493,0.042,0.49,0.77
14.750,0.072,0.068074,0.068074,0.043,0.50,0.79
14.850,0.072,0.068456,0.068456,0.043,0.50,0.79
14.950,0.073,0.069022,0.069022,0.043,0.51,0.79
15.050,0.074,0.069351,0.069351,0.043,0.51,0.80
15.150,0.074,0.069932,0.069932,0.044,0.51,0.81
15.250,0.074,0.070352,0.070352,0.045,0.52,0.82
15.350,0.075,0.070714,0.070714,0.044,0.52,0.81
15.450,0.076,0.071443,0.071443,0.046,0.52,0.84
15.550,0.076,0.072157,0.072157,0.046,0.53,0.85
15.650,0.076,0.072302,0.072302,0.045,0.53,0.83
15.750,0.077,0.072865,0.072865,0.045,0.53,0.83
15.850,0.078,0.073206,0.073206,0.045,0.54,0.82
15.950,0.078,0.073834,0.073834,0.046,0.54,0.85
16.050,0.078,0.074346,0.074346,0.047,0.54,0.86
16.150,0.079,0.074844,0.074844,0.047,0.55,0.87
16.250,0.080,0.075389,0.075389,0.047,0.55,0.87
16.350,0.080,0.075899,0.075899,0.048,0.56,0.89
16.450,0.080,0.076239,0.076239,0.048,0.56,0.89
16.550,0.081,0.076817,0.076817,0.049,0.56,0.90
16.650,0.082,0.077226,0.077226,0.050,0.57,0.92
16.750,0.082,0.077744,0.077744,0.050,0.57,0.92
16.850,0.082,0.078133,0.078133,0.050,0.57,0.91
