"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000539,-0.000539,0.007,0.00,0.14
0.400,0.000,-0.000104,-0.000104,0.008,0.00,0.16
0.500,0.000,0.000584,0.000584,0.006,0.00,0.13
0.600,0.001,0.000957,0.000957,0.008,0.01,0.16
0.700,0.002,0.001683,0.001683,0.009,0.01,0.18
0.800,0.002,0.001949,0.001949,0.011,0.01,0.21
0.900,0.002,0.002628,0.002628,0.010,0.02,0.21
1.000,0.003,0.002966,0.002966,0.010,0.02,0.20
1.100,0.004,0.003419,0.003419,0.011,0.02,0.21
1.200,0.004,0.003911,0.003911,0.011,0.03,0.22
1.300,0.005,0.004640,0.004640,0.011,0.03,0.22
1.400,0.005,0.004643,0.004643,0.012,0.03,0.23
1.500,0.006,0.005318,0.005318,0.011,0.03,0.23
1.600,0.006,0.005896,0.005896,0.011,0.04,0.22
1.700,0.006,0.006225,0.006225,0.012,0.04,0.24
1.800,0.007,0.006530,0.006530,0.013,0.04,0.26
1.900,0.008,0.007380,0.007380,0.012,0.05,0.23
2.000,0.008,0.007665,0.007665,0.013,0.05,0.25
2.100,0.008,0.008382,0.008382,0.012,0.05,0.23
2.200,0.009,0.008918,0.008918,0.012,0.06,0.24
2.300,0.010,0.009238,0.009238,0.013,0.06,0.25
2.400,0.010,0.009887,0.009887,0.012,0.06,0.25
2.500,0.010,0.010426,0.010426,0.013,0.07,0.26
2.600,0.011,0.010941,0.010941,0.012,0.07,0.24
2.700,0.012,0.011309,0.011309,0.012,0.07,0.25
2.800,0.012,0.011931,0.011931,0.013,0.08,0.25
2.900,0.012,0.012541,0.012541,0.013,0.08,0.25
3.000,0.013,0.012938,0.012938,0.012,0.08,0.25
3.100,0.014,0.013202,0.013202,0.013,0.09,0.26
3.200,0.014,0.013744,0.013744,0.013,0.09,0.26
3.300,0.014,0.014162,0.014162,0.014,0.09,0.28
3.400,0.015,0.015030,0.015030,0.013,0.10,0.27
3.500,0.016,0.015240,0.015240,0.012,0.10,0.25
3.600,0.016,0.015442,0.015442,0.013,0.10,0.26
3.700,0.016,0.016049,0.016049,0.013,0.10,0.26
3.800,0.017,0.016633,0.016633,0.014,0.11,0.29
3.900,0.018,0.017453,0.017453,0.013,0.11,0.27
4.000,0.018,0.017667,0.017667,0.014,0.11,0.28
4.100,0.018,0.018301,0.018301,0.015,0.12,0.30
4.200,0.019,0.018298,0.018298,0.014,0.12,0.29
4.300,0.020,0.019509,0.019509,0.015,0.13,0.31
4.400,0.020,0.019151,0.019151,0.016,0.12,0.31
4.500,0.020,0.019515,0.019515,0.016,0.13,0.32
4.600,0.021,0.020135,0.020135,0.015,0.13,0.31
4.700,0.022,0.021157,0.021157,0.015,0.14,0.31
4.800,0.022,0.022078,0.022078,0.015,0.14,0.30
4.900,0.022,0.022285,0.022285,0.016,0.14,0.31
5.000,0.022,0.022463,0.022463,0.015,0.14,0.31
5.100,0.024,0.023088,0.023088,0.016,0.15,0.32
5.200,0.024,0.023595,0.023595,0.016,0.15,0.33
5.300,0.024,0.023634,0.023634,0.017,0.15,0.34
5.400,0.025,0.024457,0.024457,0.016,0.16,0.32
5.500,0.026,0.025062,0.025062,0.016,0.16,0.31
5.600,0.026,0.025518,0.025518,0.018,0.16,0.36
