"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.002,-0.001677,-0.001677,0.006,-0.01,0.11
0.350,0.002,-0.001016,-0.001016,0.007,-0.01,0.13
0.450,0.002,-0.000502,-0.000502,0.009,0.00,0.16
0.550,0.003,0.000133,0.000133,0.009,0.00,0.17
0.650,0.004,0.000766,0.000766,0.007,0.01,0.13
0.750,0.004,0.000993,0.000993,0.010,0.01,0.17
0.850,0.004,0.001324,0.001324,0.008,0.01,0.15
0.950,0.005,0.001812,0.001812,0.007,0.01,0.14
1.050,0.006,0.002555,0.002555,0.007,0.02,0.13
1.150,0.006,0.003320,0.003320,0.009,0.03,0.16
1.250,0.006,0.003539,0.003539,0.008,0.03,0.15
1.350,0.007,0.003887,0.003887,0.007,0.03,0.13
1.450,0.007,0.004343,0.004343,0.009,0.04,0.16
1.550,0.008,0.005014,0.005014,0.009,0.04,0.17
1.650,0.008,0.005557,0.005557,0.010,0.05,0.18
1.750,0.009,0.005837,0.005837,0.010,0.05,0.18
1.850,0.009,0.006399,0.006399,0.008,0.05,0.15
1.950,0.010,0.006708,0.006708,0.009,0.06,0.16
2.050,0.010,0.007444,0.007444,0.010,0.06,0.18
2.150,0.011,0.007915,0.007915,0.009,0.07,0.16
2.250,0.012,0.008382,0.008382,0.010,0.07,0.18
2.350,0.012,0.008687,0.008687,0.010,0.07,0.18
2.450,0.012,0.009291,0.009291,0.010,0.08,0.18
2.550,0.013,0.010066,0.010066,0.009,0.08,0.17
2.650,0.013,0.010412,0.010412,0.010,0.09,0.18
2.750,0.014,0.010550,0.010550,0.009,0.09,0.17
2.850,0.014,0.011747,0.011747,0.010,0.10,0.18
2.950,0.015,0.011710,0.011710,0.010,0.10,0.19
3.050,0.016,0.012377,0.012377,0.011,0.10,0.19
3.150,0.016,0.012603,0.012603,0.010,0.10,0.18
3.250,0.016,0.013689,0.013689,0.011,0.11,0.20
3.350,0.017,0.013873,0.013873,0.010,0.11,0.19
3.450,0.018,0.014793,0.014793,0.010,0.12,0.18
3.550,0.018,0.014951,0.014951,0.009,0.12,0.17
3.650,0.018,0.015536,0.015536,0.010,0.13,0.18
3.750,0.019,0.015778,0.015778,0.010,0.13,0.19
3.850,0.020,0.017273,0.017273,0.009,0.14,0.17
3.950,0.020,0.017161,0.017161,0.010,0.14,0.18
4.050,0.020,0.017610,0.017610,0.010,0.15,0.18
4.150,0.021,0.018290,0.018290,0.009,0.15,0.17
4.250,0.022,0.019104,0.019104,0.010,0.16,0.18
4.350,0.022,0.019634,0.019634,0.010,0.16,0.19
4.450,0.022,0.019478,0.019478,0.010,0.16,0.18
4.550,0.023,0.019835,0.019835,0.010,0.16,0.18
4.650,0.024,0.020977,0.020977,0.010,0.17,0.19
4.750,0.024,0.021964,0.021964,0.010,0.18,0.18
4.850,0.024,0.022481,0.022481,0.010,0.19,0.18
4.950,0.025,0.022653,0.022653,0.010,0.19,0.19
5.050,0.026,0.022893,0.022893,0.010,0.19,0.18
5.150,0.026,0.023405,0.023405,0.010,0.19,0.18
5.250,0.026,0.023912,0.023912,0.009,0.20,0.17
5.350,0.027,0.024491,0.024491,0.011,0.20,0.19
5.450,0.028,0.025333,0.025333,0.010,0.21,0.18
5.550,0.028,0.025703,0.025703,0.011,0.21,0.20
5.650,0.028,0.026081,0.026081,0.011,0.21,0.20
5.750,0.029,0.026758,0.026758,0.011,0.22,0.20
5.850,0.030,0.026986,0.026986,0.010,0.22,0.19
5.950,0.030,0.027562,0.027562,0.012,0.23,0.22
6.050,0.030,0.027780,0.027780,0.012,0.23,0.22
6.150,0.031,0.028147,0.028147,0.011,0.23,0.21
6.250,0.032,0.029608,0.029608,0.009,0.24,0.17
6.350,0.032,0.029406,0.029406,0.011,0.24,0.20
6.450,0.032,0.029864,0.029864,0.013,0.25,0.24
6.550,0.033,0.030171,0.030171,0.011,0.25,0.21
6.650,0.034,0.030834,0.030834,0.012,0.25,0.21
6.750,0.034,0.031800,0.031800,0.012,0.26,0.21
6.850,0.035,0.031937,0.031937,0.012,0.26,0.21
6.950,0.035,0.032408,0.032408,0.013,0.27,0.23
7.050,0.036,0.032741,0.032741,0.011,0.27,0.21
7.150,0.036,0.033370,0.033370,0.011,0.27,0.20
7.250,0.036,0.034111,0.034111,0.011,0.28,0.21
7.350,0.037,0.034311,0.034311,0.012,0.28,0.23
7.450,0.038,0.035250,0.035250,0.011,0.29,0.20
7.550,0.038,0.035553,0.035553,0.013,0.29,0.23
7.650,0.038,0.035991,0.035991,0.011,0.30,0.21
7.750,0.039,0.036284,0.036284,0.011,0.30,0.20
7.850,0.040,0.037112,0.037112,0.011,0.31,0.20
7.950,0.040,0.037465,0.037465,0.011,0.31,0.19
8.050,0.040,0.037887,0.037887,0.010,0.31,0.19
8.150,0.041,0.038398,0.038398,0.011,0.32,0.20
8.250,0.042,0.038856,0.038856,0.011,0.32,0.21
8.350,0.042,0.039411,0.039411,0.011,0.32,0.20
8.450,0.043,0.039814,0.039814,0.011,0.33,0.20
8.550,0.043,0.040235,0.040235,0.011,0.33,0.21
8.650,0.044,0.040954,0.040954,0.011,0.34,0.21
8.750,0.044,0.041353,0.041353,0.012,0.34,0.22
8.850,0.044,0.041887,0.041887,0.012,0.35,0.22
8.950,0.045,0.042284,0.042284,0.012,0.35,0.22
9.050,0.046,0.042657,0.042657,0.012,0.35,0.21
9.150,0.046,0.043401,0.043401,0.012,0.36,0.22
9.250,0.046,0.044107,0.044107,0.013,0.36,0.23
9.350,0.047,0.044104,0.044104,0.011,0.36,0.21
9.450,0.048,0.044750,0.044750,0.012,0.37,0.22
9.550,0.048,0.045052,0.045052,0.011,0.37,0.21
9.650,0.048,0.045941,0.045941,0.012,0.38,0.22
9.750,0.049,0.046215,0.046215,0.013,0.38,0.23
9.850,0.050,0.046691,0.046691,0.013,0.38,0.23
9.950,0.050,0.047051,0.047051,0.013,0.39,0.24
10.050,0.051,0.047531,0.047531,0.011,0.39,0.21
10.150,0.051,0.048150,0.048150,0.012,0.40,0.22
10.250,0.052,0.048676,0.048676,0.013,0.40,0.23
10.350,0.052,0.048849,0.048849,0.013,0.40,0.24
10.450,0.052,0.049574,0.049574,0.014,0.41,0.25
10.550,0.053,0.050107,0.050107,0.014,0.41,0.25
10.650,0.054,0.050671,0.050671,0.013,0.42,0.24
10.750,0.054,0.051050,0.051050,0.013,0.42,0.24
10.850,0.054,0.051604,0.051604,0.012,0.43,0.23
