"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.002021,-0.002021,0.009,-0.01,0.19
0.350,0.000,-0.001295,-0.001295,0.009,-0.01,0.19
0.450,0.001,-0.001031,-0.001031,0.009,-0.01,0.19
0.550,0.001,-0.000604,-0.000604,0.010,0.00,0.20
0.650,0.002,-0.000071,-0.000071,0.010,0.00,0.21
0.750,0.002,0.000495,0.000495,0.010,0.00,0.21
0.850,0.003,0.001182,0.001182,0.011,0.01,0.22
0.950,0.004,0.001757,0.001757,0.011,0.01,0.23
1.050,0.004,0.002077,0.002077,0.012,0.01,0.24
1.150,0.004,0.002400,0.002400,0.011,0.02,0.23
1.250,0.005,0.002877,0.002877,0.011,0.02,0.22
1.350,0.006,0.003857,0.003857,0.011,0.03,0.23
1.450,0.006,0.004254,0.004254,0.012,0.03,0.24
1.550,0.006,0.004500,0.004500,0.012,0.03,0.24
1.650,0.006,0.004921,0.004921,0.012,0.03,0.26
1.750,0.007,0.005481,0.005481,0.013,0.04,0.27
1.850,0.008,0.006290,0.006290,0.012,0.04,0.26
1.950,0.008,0.006776,0.006776,0.012,0.04,0.26
2.050,0.009,0.007167,0.007167,0.013,0.05,0.27
2.150,0.009,0.007519,0.007519,0.013,0.05,0.26
2.250,0.010,0.008041,0.008041,0.014,0.05,0.29
2.350,0.010,0.008971,0.008971,0.012,0.06,0.25
2.450,0.010,0.009098,0.009098,0.013,0.06,0.27
2.550,0.011,0.009516,0.009516,0.012,0.06,0.25
2.650,0.012,0.009961,0.009961,0.012,0.07,0.25
2.750,0.012,0.011069,0.011069,0.014,0.07,0.29
2.850,0.012,0.011442,0.011442,0.013,0.07,0.27
2.950,0.013,0.011611,0.011611,0.016,0.08,0.33
3.050,0.014,0.011872,0.011872,0.014,0.08,0.28
3.150,0.014,0.012968,0.012968,0.015,0.08,0.32
3.250,0.015,0.013747,0.013747,0.015,0.09,0.32
3.350,0.015,0.013848,0.013848,0.015,0.09,0.31
3.450,0.016,0.014387,0.014387,0.014,0.09,0.28
3.550,0.016,0.014766,0.014766,0.014,0.10,0.29
3.650,0.017,0.015421,0.015421,0.016,0.10,0.32
3.750,0.017,0.016055,0.016055,0.013,0.11,0.28
3.850,0.018,0.016206,0.016206,0.014,0.11,0.29
3.950,0.018,0.017104,0.017104,0.014,0.11,0.29
4.050,0.019,0.017462,0.017462,0.016,0.11,0.33
4.150,0.019,0.018013,0.018013,0.015,0.12,0.30
4.250,0.020,0.018869,0.018869,0.016,0.12,0.33
4.350,0.020,0.018624,0.018624,0.013,0.12,0.27
4.450,0.020,0.019652,0.019652,0.014,0.13,0.29
