"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000880,-0.000880,0.005,-0.01,0.09
0.400,0.000,-0.000910,-0.000910,0.004,-0.01,0.08
0.500,0.001,-0.000329,-0.000329,0.005,0.00,0.09
0.600,0.002,0.000397,0.000397,0.006,0.00,0.11
0.700,0.002,0.000720,0.000720,0.007,0.01,0.13
0.800,0.002,0.001200,0.001200,0.007,0.01,0.13
0.900,0.003,0.001618,0.001618,0.007,0.01,0.13
1.000,0.004,0.001997,0.001997,0.009,0.02,0.16
1.100,0.004,0.002560,0.002560,0.007,0.02,0.13
1.200,0.005,0.003135,0.003135,0.008,0.02,0.15
1.300,0.005,0.003715,0.003715,0.008,0.03,0.15
1.400,0.006,0.004071,0.004071,0.008,0.03,0.14
1.500,0.006,0.004601,0.004601,0.007,0.04,0.14
1.600,0.006,0.005283,0.005283,0.008,0.04,0.14
1.700,0.007,0.005854,0.005854,0.008,0.05,0.15
1.800,0.008,0.005940,0.005940,0.009,0.05,0.16
1.900,0.008,0.006479,0.006479,0.009,0.05,0.17
2.000,0.008,0.007010,0.007010,0.010,0.06,0.18
2.100,0.009,0.007804,0.007804,0.010,0.06,0.19
2.200,0.010,0.008601,0.008601,0.009,0.07,0.17
2.300,0.010,0.008213,0.008213,0.010,0.06,0.18
2.400,0.010,0.009098,0.009098,0.010,0.07,0.18
2.500,0.011,0.009661,0.009661,0.009,0.08,0.16
2.600,0.012,0.010524,0.010524,0.010,0.08,0.19
2.700,0.012,0.010835,0.010835,0.011,0.09,0.20
2.800,0.012,0.010734,0.010734,0.009,0.08,0.17
2.900,0.013,0.011483,0.011483,0.011,0.09,0.19
3.000,0.014,0.012263,0.012263,0.011,0.10,0.20
3.100,0.014,0.012829,0.012829,0.011,0.10,0.20
3.200,0.014,0.013223,0.013223,0.012,0.10,0.22
3.300,0.015,0.013486,0.013486,0.011,0.11,0.21
3.400,0.016,0.014345,0.014345,0.011,0.11,0.20
3.500,0.016,0.014707,0.014707,0.012,0.12,0.23
3.600,0.016,0.015190,0.015190,0.012,0.12,0.21
3.700,0.017,0.015827,0.015827,0.011,0.12,0.21
3.800,0.017,0.016037,0.016037,0.012,0.13,0.21
3.900,0.018,0.016914,0.016914,0.012,0.13,0.22
4.000,0.018,0.017252,0.017252,0.012,0.14,0.22
4.100,0.019,0.017815,0.017815,0.012,0.14,0.22
4.200,0.020,0.018680,0.018680,0.012,0.15,0.23
4.300,0.020,0.018721,0.018721,0.012,0.15,0.21
4.400,0.020,0.019533,0.019533,0.012,0.15,0.23
4.500,0.021,0.019806,0.019806,0.012,0.16,0.23
4.600,0.022,0.020179,0.020179,0.013,0.16,0.23
4.700,0.022,0.021053,0.021053,0.013,0.17,0.24
4.800,0.022,0.021474,0.021474,0.014,0.17,0.25
4.900,0.023,0.022395,0.022395,0.013,0.18,0.25
5.000,0.023,0.022469,0.022469,0.013,0.18,0.23
5.100,0.024,0.022899,0.022899,0.014,0.18,0.27
5.200,0.024,0.023722,0.023722,0.014,0.19,0.26
5.300,0.025,0.023551,0.023551,0.014,0.19,0.25
5.400,0.025,0.024294,0.024294,0.015,0.19,0.27
5.500,0.026,0.024685,0.024685,0.015,0.19,0.28
5.600,0.026,0.025156,0.025156,0.014,0.20,0.26
5.700,0.027,0.026101,0.026101,0.015,0.21,0.28
5.800,0.028,0.026436,0.026436,0.015,0.21,0.28
5.900,0.028,0.026907,0.026907,0.014,0.21,0.26
6.000,0.028,0.026984,0.026984,0.016,0.21,0.28
6.100,0.028,0.027500,0.027500,0.015,0.22,0.27
6.200,0.030,0.028483,0.028483,0.015,0.22,0.27
6.300,0.030,0.029277,0.029277,0.016,0.23,0.28
6.400,0.030,0.029150,0.029150,0.015,0.23,0.28
6.500,0.030,0.029680,0.029680,0.015,0.23,0.27
6.600,0.032,0.030347,0.030347,0.016,0.24,0.29
6.700,0.032,0.028661,0.028661,0.016,0.23,0.30
6.800,0.032,0.028398,0.028398,0.016,0.22,0.29
6.900,0.033,0.029254,0.029254,0.016,0.23,0.29
7.000,0.034,0.029429,0.029429,0.016,0.23,0.30
7.100,0.034,0.029947,0.029947,0.016,0.24,0.29
7.200,0.035,0.030646,0.030646,0.017,0.24,0.31
7.300,0.035,0.031494,0.031494,0.017,0.25,0.31
7.400,0.036,0.031662,0.031662,0.016,0.25,0.30
7.500,0.036,0.032353,0.032353,0.016,0.25,0.30
7.600,0.036,0.033111,0.033111,0.018,0.26,0.32
7.700,0.037,0.033556,0.033556,0.016,0.26,0.29
7.800,0.038,0.033727,0.033727,0.018,0.26,0.33
7.900,0.038,0.034590,0.034590,0.018,0.27,0.32
8.000,0.038,0.035200,0.035200,0.017,0.28,0.31
8.100,0.039,0.035467,0.035467,0.018,0.28,0.32
8.200,0.040,0.036115,0.036115,0.018,0.28,0.33
8.300,0.040,0.036418,0.036418,0.018,0.29,0.33
8.400,0.040,0.037277,0.037277,0.019,0.29,0.35
8.500,0.041,0.037635,0.037635,0.019,0.30,0.34
8.600,0.042,0.038071,0.038071,0.018,0.30,0.33
8.700,0.042,0.038726,0.038726,0.017,0.30,0.32
8.800,0.042,0.039066,0.039066,0.017,0.31,0.32
8.900,0.043,0.039641,0.039641,0.019,0.31,0.36
9.000,0.044,0.039958,0.039958,0.019,0.31,0.35
9.100,0.044,0.040696,0.040696,0.019,0.32,0.34
9.200,0.044,0.041407,0.041407,0.018,0.33,0.33
9.300,0.045,0.041673,0.041673,0.018,0.33,0.33
9.400,0.046,0.042296,0.042296,0.018,0.33,0.33
9.500,0.046,0.042613,0.042613,0.018,0.33,0.33
9.600,0.046,0.043146,0.043146,0.020,0.34,0.37
9.700,0.047,0.043753,0.043753,0.019,0.34,0.35
9.800,0.048,0.044295,0.044295,0.020,0.35,0.36
9.900,0.048,0.044675,0.044675,0.019,0.35,0.35
10.000,0.048,0.045095,0.045095,0.020,0.35,0.37
10.100,0.048,0.045572,0.045572,0.018,0.36,0.33
10.200,0.050,0.046278,0.046278,0.020,0.36,0.37
10.300,0.050,0.046778,0.046778,0.021,0.37,0.38
10.400,0.051,0.047131,0.047131,0.019,0.37,0.34
10.500,0.051,0.047605,0.047605,0.021,0.37,0.38
10.600,0.052,0.048011,0.048011,0.020,0.38,0.37
10.700,0.052,0.048665,0.048665,0.021,0.38,0.38
10.800,0.052,0.049246,0.049246,0.021,0.39,0.38
10.900,0.052,0.049534,0.049534,0.022,0.39,0.41
11.000,0.053,0.050043,0.050043,0.020,0.39,0.37
11.100,0.054,0.050902,0.050902,0.021,0.40,0.38
11.200,0.054,0.051317,0.051317,0.021,0.40,0.38
11.300,0.054,0.051729,0.051729,0.022,0.41,0.41
11.400,0.055,0.051996,0.051996,0.021,0.41,0.39
11.500,0.056,0.052511,0.052511,0.022,0.41,0.41
11.600,0.056,0.053261,0.053261,0.022,0.42,0.40
11.700,0.056,0.053655,0.053655,0.021,0.42,0.39
11.800,0.057,0.054120,0.054120,0.023,0.43,0.42
11.900,0.058,0.054641,0.054641,0.021,0.43,0.39
12.000,0.058,0.055038,0.055038,0.023,0.43,0.42
12.100,0.058,0.055755,0.055755,0.023,0.44,0.42
12.200,0.059,0.056040,0.056040,0.023,0.44,0.42
12.300,0.060,0.056641,0.056641,0.023,0.44,0.42
12.400,0.060,0.057118,0.057118,0.024,0.45,0.43
12.500,0.060,0.057737,0.057737,0.023,0.45,0.43
12.600,0.061,0.058199,0.058199,0.024,0.46,0.44
12.700,0.062,0.058659,0.058659,0.026,0.46,0.47
12.800,0.062,0.058988,0.058988,0.023,0.46,0.43
12.900,0.063,0.059844,0.059844,0.023,0.47,0.43
13.000,0.063,0.060285,0.060285,0.025,0.47,0.45
13.100,0.064,0.060839,0.060839,0.024,0.48,0.45
13.200,0.064,0.061147,0.061147,0.023,0.48,0.43
13.300,0.064,0.061521,0.061521,0.023,0.48,0.43
13.400,0.065,0.062202,0.062202,0.024,0.49,0.45
