"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.002572,-0.002572,0.003,-0.02,0.06
0.350,0.000,-0.002050,-0.002050,0.004,-0.01,0.07
0.450,0.000,-0.001475,-0.001475,0.003,-0.01,0.06
0.550,0.000,-0.001129,-0.001129,0.005,-0.01,0.10
0.650,0.001,-0.000942,-0.000942,0.006,-0.01,0.11
0.750,0.002,-0.000080,-0.000080,0.004,0.00,0.09
0.850,0.002,0.000276,0.000276,0.005,0.00,0.10
0.950,0.002,0.000776,0.000776,0.005,0.00,0.10
1.050,0.003,0.001227,0.001227,0.005,0.01,0.09
1.150,0.004,0.001701,0.001701,0.007,0.01,0.15
1.250,0.004,0.002029,0.002029,0.005,0.01,0.10
1.350,0.005,0.002669,0.002669,0.005,0.02,0.10
1.450,0.005,0.003235,0.003235,0.006,0.02,0.12
1.550,0.006,0.003638,0.003638,0.006,0.02,0.12
1.650,0.006,0.003967,0.003967,0.006,0.03,0.11
1.750,0.006,0.004462,0.004462,0.007,0.03,0.14
1.850,0.007,0.004965,0.004965,0.007,0.03,0.14
1.950,0.008,0.005653,0.005653,0.008,0.04,0.15
2.050,0.008,0.005884,0.005884,0.008,0.04,0.16
2.150,0.008,0.006305,0.006305,0.007,0.04,0.15
2.250,0.009,0.006749,0.006749,0.007,0.04,0.15
2.350,0.010,0.007238,0.007238,0.007,0.05,0.14
2.450,0.010,0.007750,0.007750,0.008,0.05,0.16
2.550,0.010,0.008207,0.008207,0.007,0.05,0.14
2.650,0.011,0.008805,0.008805,0.008,0.06,0.15
2.750,0.012,0.009137,0.009137,0.008,0.06,0.16
2.850,0.012,0.009407,0.009407,0.008,0.06,0.15
2.950,0.012,0.010044,0.010044,0.008,0.06,0.16
3.050,0.013,0.010438,0.010438,0.009,0.07,0.18
3.150,0.014,0.011101,0.011101,0.009,0.07,0.17
3.250,0.014,0.011344,0.011344,0.009,0.07,0.17
3.350,0.014,0.012040,0.012040,0.008,0.08,0.17
3.450,0.015,0.012580,0.012580,0.010,0.08,0.20
3.550,0.016,0.012843,0.012843,0.011,0.08,0.23
3.650,0.016,0.013095,0.013095,0.010,0.08,0.20
3.750,0.016,0.014218,0.014218,0.010,0.09,0.20
3.850,0.017,0.014363,0.014363,0.011,0.09,0.21
3.950,0.018,0.014784,0.014784,0.012,0.09,0.24
4.050,0.018,0.015400,0.015400,0.010,0.10,0.20
