"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000532,-0.000532,0.004,0.00,0.08
0.400,0.000,-0.000064,-0.000064,0.006,0.00,0.11
0.500,0.001,0.000247,0.000247,0.008,0.00,0.16
0.600,0.002,0.000995,0.000995,0.006,0.01,0.13
0.700,0.002,0.001481,0.001481,0.007,0.01,0.14
0.800,0.002,0.001855,0.001855,0.009,0.01,0.17
0.900,0.003,0.002083,0.002083,0.006,0.01,0.12
1.000,0.004,0.002506,0.002506,0.008,0.02,0.16
1.100,0.004,0.002818,0.002818,0.007,0.02,0.15
1.200,0.005,0.003730,0.003730,0.008,0.02,0.16
1.300,0.005,0.003986,0.003986,0.008,0.02,0.17
1.400,0.006,0.004406,0.004406,0.009,0.03,0.18
1.500,0.006,0.004561,0.004561,0.009,0.03,0.18
1.600,0.006,0.005277,0.005277,0.009,0.03,0.17
1.700,0.008,0.005748,0.005748,0.009,0.03,0.17
1.800,0.008,0.006124,0.006124,0.009,0.04,0.18
1.900,0.008,0.006422,0.006422,0.010,0.04,0.19
2.000,0.008,0.006922,0.006922,0.010,0.04,0.19
2.100,0.009,0.007402,0.007402,0.011,0.04,0.21
2.200,0.010,0.007912,0.007912,0.011,0.05,0.21
2.300,0.010,0.008208,0.008208,0.011,0.05,0.21
2.400,0.010,0.008891,0.008891,0.011,0.05,0.21
2.500,0.011,0.008907,0.008907,0.009,0.05,0.18
2.600,0.012,0.009553,0.009553,0.010,0.06,0.20
2.700,0.012,0.009978,0.009978,0.010,0.06,0.19
2.800,0.012,0.010464,0.010464,0.010,0.06,0.20
2.900,0.013,0.010866,0.010866,0.011,0.07,0.21
3.000,0.014,0.011638,0.011638,0.011,0.07,0.22
3.100,0.014,0.011888,0.011888,0.011,0.07,0.21
3.200,0.014,0.012159,0.012159,0.011,0.07,0.21
3.300,0.015,0.012320,0.012320,0.011,0.07,0.21
3.400,0.016,0.013003,0.013003,0.012,0.08,0.23
3.500,0.016,0.014043,0.014043,0.012,0.09,0.23
3.600,0.016,0.013993,0.013993,0.012,0.08,0.23
3.700,0.017,0.014664,0.014664,0.011,0.09,0.21
3.800,0.018,0.014972,0.014972,0.012,0.09,0.23
3.900,0.018,0.015508,0.015508,0.013,0.09,0.25
4.000,0.018,0.015864,0.015864,0.012,0.10,0.23
4.100,0.019,0.016218,0.016218,0.010,0.10,0.20
4.200,0.020,0.016990,0.016990,0.011,0.10,0.22
4.300,0.020,0.017241,0.017241,0.012,0.10,0.24
4.400,0.020,0.018073,0.018073,0.013,0.11,0.25
4.500,0.021,0.018735,0.018735,0.013,0.11,0.25
4.600,0.022,0.018912,0.018912,0.013,0.11,0.25
4.700,0.022,0.019544,0.019544,0.011,0.12,0.21
4.800,0.022,0.020223,0.020223,0.011,0.12,0.22
4.900,0.023,0.020677,0.020677,0.012,0.13,0.24
5.000,0.024,0.020684,0.020684,0.013,0.13,0.26
5.100,0.024,0.021139,0.021139,0.013,0.13,0.26
5.200,0.024,0.022037,0.022037,0.013,0.13,0.26
5.300,0.025,0.022651,0.022651,0.014,0.14,0.27
5.400,0.026,0.022672,0.022672,0.013,0.14,0.25
5.500,0.026,0.023422,0.023422,0.012,0.14,0.24
5.600,0.026,0.023325,0.023325,0.011,0.14,0.22
5.700,0.027,0.023995,0.023995,0.013,0.15,0.25
5.800,0.028,0.024276,0.024276,0.012,0.15,0.23
5.900,0.028,0.024922,0.024922,0.014,0.15,0.27
6.000,0.028,0.025390,0.025390,0.014,0.15,0.27
6.100,0.029,0.025901,0.025901,0.014,0.16,0.28
6.200,0.030,0.027033,0.027033,0.014,0.16,0.27
6.300,0.030,0.026761,0.026761,0.013,0.16,0.25
6.400,0.030,0.027235,0.027235,0.014,0.16,0.28
6.500,0.031,0.027922,0.027922,0.015,0.17,0.29
6.600,0.032,0.028555,0.028555,0.015,0.17,0.29
6.700,0.032,0.029371,0.029371,0.014,0.18,0.28
6.800,0.032,0.029515,0.029515,0.015,0.18,0.29
6.900,0.033,0.029685,0.029685,0.014,0.18,0.28
7.000,0.034,0.030319,0.030319,0.017,0.18,0.33
7.100,0.034,0.031300,0.031300,0.016,0.19,0.31
7.200,0.035,0.031775,0.031775,0.015,0.19,0.29
7.300,0.035,0.031814,0.031814,0.015,0.19,0.29
7.400,0.036,0.032276,0.032276,0.015,0.20,0.30
7.500,0.036,0.033181,0.033181,0.016,0.20,0.32
7.600,0.036,0.033713,0.033713,0.018,0.20,0.34
7.700,0.037,0.034321,0.034321,0.016,0.21,0.32
7.800,0.038,0.034366,0.034366,0.016,0.21,0.31
7.900,0.038,0.034756,0.034756,0.017,0.21,0.33
8.000,0.038,0.035542,0.035542,0.017,0.22,0.34
8.100,0.039,0.035997,0.035997,0.017,0.22,0.33
8.200,0.040,0.036843,0.036843,0.016,0.22,0.31
8.300,0.040,0.037004,0.037004,0.017,0.22,0.33
8.400,0.040,0.037495,0.037495,0.018,0.23,0.35
8.500,0.041,0.038000,0.038000,0.016,0.23,0.32
8.600,0.042,0.038441,0.038441,0.017,0.23,0.33
8.700,0.042,0.039327,0.039327,0.018,0.24,0.36
8.800,0.043,0.039780,0.039780,0.017,0.24,0.33
8.900,0.043,0.040004,0.040004,0.018,0.24,0.36
9.000,0.044,0.040402,0.040402,0.018,0.24,0.34
9.100,0.044,0.041042,0.041042,0.017,0.25,0.33
9.200,0.044,0.041724,0.041724,0.018,0.25,0.35
9.300,0.046,0.042325,0.042325,0.018,0.26,0.35
9.400,0.046,0.042736,0.042736,0.017,0.26,0.33
9.500,0.046,0.042881,0.042881,0.018,0.26,0.35
9.600,0.046,0.043578,0.043578,0.018,0.26,0.35
9.700,0.047,0.044337,0.044337,0.018,0.27,0.35
9.800,0.048,0.044996,0.044996,0.018,0.27,0.35
9.900,0.048,0.045039,0.045039,0.019,0.27,0.38
10.000,0.048,0.045346,0.045346,0.019,0.27,0.36
10.100,0.049,0.045987,0.045987,0.020,0.28,0.39
10.200,0.050,0.046860,0.046860,0.020,0.28,0.39
10.300,0.050,0.047405,0.047405,0.019,0.29,0.37
10.400,0.051,0.047729,0.047729,0.019,0.29,0.38
10.500,0.051,0.048061,0.048061,0.020,0.29,0.40
10.600,0.052,0.048470,0.048470,0.018,0.29,0.36
10.700,0.052,0.049237,0.049237,0.020,0.30,0.40
10.800,0.052,0.049699,0.049699,0.019,0.30,0.37
10.900,0.053,0.049994,0.049994,0.019,0.30,0.38
11.000,0.054,0.050473,0.050473,0.020,0.31,0.40
11.100,0.054,0.050942,0.050942,0.020,0.31,0.39
11.200,0.054,0.051710,0.051710,0.020,0.31,0.40
11.300,0.055,0.052261,0.052261,0.020,0.32,0.39
11.400,0.056,0.052673,0.052673,0.020,0.32,0.40
11.500,0.056,0.053090,0.053090,0.021,0.32,0.40
11.600,0.056,0.053499,0.053499,0.022,0.32,0.42
11.700,0.057,0.054366,0.054366,0.021,0.33,0.41
11.800,0.058,0.054844,0.054844,0.020,0.33,0.40
11.900,0.058,0.055078,0.055078,0.021,0.33,0.42
12.000,0.059,0.055890,0.055890,0.021,0.34,0.41
12.100,0.059,0.056340,0.056340,0.022,0.34,0.43
12.200,0.060,0.056983,0.056983,0.022,0.34,0.43
12.300,0.060,0.057440,0.057440,0.021,0.35,0.41
12.400,0.060,0.057971,0.057971,0.020,0.35,0.40
12.500,0.062,0.058364,0.058364,0.022,0.35,0.43
12.600,0.062,0.058728,0.058728,0.022,0.36,0.42
12.700,0.062,0.059293,0.059293,0.022,0.36,0.44
12.800,0.062,0.059925,0.059925,0.021,0.36,0.41
12.900,0.063,0.060365,0.060365,0.023,0.37,0.44
13.000,0.064,0.060733,0.060733,0.021,0.37,0.42
13.100,0.064,0.061115,0.061115,0.022,0.37,0.44
13.200,0.064,0.061808,0.061808,0.023,0.37,0.44
13.300,0.065,0.062386,0.062386,0.022,0.38,0.43
13.400,0.066,0.062858,0.062858,0.021,0.38,0.42
13.500,0.066,0.063123,0.063123,0.022,0.38,0.44
13.600,0.066,0.063689,0.063689,0.023,0.39,0.45
13.700,0.068,0.064239,0.064239,0.023,0.39,0.45
