"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000631,-0.000631,0.005,0.00,0.08
0.400,0.000,0.000107,0.000107,0.007,0.00,0.12
0.500,0.001,0.000566,0.000566,0.006,0.00,0.11
0.600,0.002,0.000761,0.000761,0.007,0.01,0.12
0.700,0.002,0.001218,0.001218,0.007,0.01,0.12
0.800,0.002,0.001932,0.001932,0.007,0.01,0.13
0.900,0.003,0.002471,0.002471,0.007,0.02,0.12
1.000,0.004,0.002886,0.002886,0.007,0.02,0.13
1.100,0.004,0.003262,0.003262,0.007,0.02,0.13
1.200,0.005,0.003831,0.003831,0.008,0.03,0.15
1.300,0.005,0.004503,0.004503,0.009,0.03,0.17
1.400,0.006,0.005161,0.005161,0.010,0.04,0.19
1.500,0.006,0.005434,0.005434,0.008,0.04,0.14
1.600,0.006,0.005700,0.005700,0.009,0.04,0.16
1.700,0.007,0.006388,0.006388,0.008,0.04,0.15
1.800,0.008,0.007161,0.007161,0.011,0.05,0.20
1.900,0.008,0.007478,0.007478,0.009,0.05,0.17
2.000,0.008,0.007881,0.007881,0.009,0.05,0.17
2.100,0.008,0.008263,0.008263,0.009,0.06,0.16
2.200,0.010,0.008660,0.008660,0.009,0.06,0.17
2.300,0.010,0.009407,0.009407,0.010,0.06,0.18
2.400,0.010,0.010070,0.010070,0.010,0.07,0.19
2.500,0.011,0.010408,0.010408,0.010,0.07,0.18
2.600,0.012,0.010589,0.010589,0.010,0.07,0.18
2.700,0.012,0.011353,0.011353,0.009,0.08,0.16
2.800,0.012,0.011483,0.011483,0.009,0.08,0.16
2.900,0.013,0.011957,0.011957,0.010,0.08,0.17
3.000,0.014,0.012597,0.012597,0.010,0.09,0.17
3.100,0.014,0.012926,0.012926,0.010,0.09,0.17
3.200,0.014,0.013877,0.013877,0.010,0.09,0.19
3.300,0.015,0.013705,0.013705,0.011,0.09,0.20
3.400,0.016,0.014600,0.014600,0.010,0.10,0.19
3.500,0.016,0.015107,0.015107,0.011,0.10,0.19
3.600,0.016,0.015652,0.015652,0.009,0.11,0.17
3.700,0.017,0.015972,0.015972,0.011,0.11,0.20
3.800,0.018,0.016724,0.016724,0.011,0.11,0.20
3.900,0.018,0.017237,0.017237,0.010,0.12,0.19
4.000,0.018,0.017957,0.017957,0.011,0.12,0.21
4.100,0.019,0.018630,0.018630,0.011,0.13,0.19
4.200,0.020,0.018493,0.018493,0.010,0.13,0.18
4.300,0.020,0.019498,0.019498,0.010,0.13,0.18
4.400,0.020,0.019406,0.019406,0.011,0.13,0.19
4.500,0.021,0.020108,0.020108,0.011,0.14,0.21
4.600,0.022,0.021003,0.021003,0.011,0.14,0.19
4.700,0.022,0.021477,0.021477,0.011,0.15,0.20
4.800,0.022,0.021586,0.021586,0.010,0.15,0.18
4.900,0.023,0.021806,0.021806,0.010,0.15,0.19
5.000,0.024,0.022768,0.022768,0.011,0.15,0.20
5.100,0.024,0.022854,0.022854,0.011,0.16,0.19
5.200,0.024,0.023580,0.023580,0.011,0.16,0.20
5.300,0.025,0.024460,0.024460,0.010,0.17,0.18
5.400,0.026,0.025222,0.025222,0.010,0.17,0.19
5.500,0.026,0.025411,0.025411,0.011,0.17,0.20
5.600,0.026,0.026078,0.026078,0.011,0.18,0.20
5.700,0.027,0.026036,0.026036,0.012,0.18,0.22
5.800,0.028,0.027221,0.027221,0.010,0.19,0.19
5.900,0.028,0.027722,0.027722,0.011,0.19,0.21
6.000,0.028,0.027864,0.027864,0.010,0.19,0.19
6.100,0.029,0.028587,0.028587,0.010,0.19,0.18
6.200,0.030,0.028655,0.028655,0.011,0.19,0.19
6.300,0.030,0.029713,0.029713,0.010,0.20,0.19
6.400,0.030,0.029793,0.029793,0.010,0.20,0.18
6.500,0.031,0.030030,0.030030,0.011,0.20,0.19
6.600,0.032,0.030534,0.030534,0.010,0.21,0.19
6.700,0.032,0.031577,0.031577,0.011,0.21,0.20
6.800,0.032,0.031698,0.031698,0.011,0.22,0.19
6.900,0.033,0.032344,0.032344,0.011,0.22,0.20
7.000,0.034,0.032658,0.032658,0.013,0.22,0.23
7.100,0.034,0.033253,0.033253,0.011,0.23,0.20
7.200,0.035,0.033615,0.033615,0.011,0.23,0.20
7.300,0.035,0.034637,0.034637,0.012,0.24,0.21
7.400,0.036,0.034729,0.034729,0.012,0.24,0.22
7.500,0.036,0.034993,0.034993,0.012,0.24,0.22
7.600,0.036,0.035505,0.035505,0.012,0.24,0.23
7.700,0.037,0.036459,0.036459,0.013,0.25,0.23
7.800,0.038,0.036598,0.036598,0.013,0.25,0.23
7.900,0.038,0.037383,0.037383,0.012,0.25,0.22
8.000,0.038,0.037659,0.037659,0.012,0.26,0.22
8.100,0.040,0.038429,0.038429,0.011,0.26,0.20
8.200,0.040,0.038714,0.038714,0.012,0.26,0.22
8.300,0.040,0.039217,0.039217,0.011,0.27,0.20
8.400,0.040,0.039697,0.039697,0.011,0.27,0.21
8.500,0.041,0.040302,0.040302,0.011,0.27,0.20
8.600,0.042,0.040802,0.040802,0.012,0.28,0.22
8.700,0.042,0.041114,0.041114,0.012,0.28,0.22
8.800,0.043,0.041653,0.041653,0.013,0.28,0.23
8.900,0.043,0.042085,0.042085,0.012,0.29,0.23
9.000,0.044,0.042595,0.042595,0.012,0.29,0.21
9.100,0.044,0.043078,0.043078,0.012,0.29,0.22
9.200,0.044,0.043762,0.043762,0.013,0.30,0.23
9.300,0.045,0.044381,0.044381,0.012,0.30,0.22
9.400,0.046,0.044728,0.044728,0.012,0.30,0.21
9.500,0.046,0.045140,0.045140,0.013,0.31,0.23
9.600,0.046,0.045549,0.045549,0.013,0.31,0.24
9.700,0.047,0.046257,0.046257,0.012,0.31,0.22
9.800,0.048,0.046861,0.046861,0.013,0.32,0.24
9.900,0.048,0.047323,0.047323,0.013,0.32,0.24
10.000,0.048,0.047557,0.047557,0.014,0.32,0.25
10.100,0.049,0.048138,0.048138,0.013,0.33,0.24
10.200,0.050,0.048660,0.048660,0.013,0.33,0.24
10.300,0.050,0.049584,0.049584,0.013,0.34,0.23
10.400,0.051,0.049853,0.049853,0.013,0.34,0.24
10.500,0.051,0.050138,0.050138,0.014,0.34,0.25
10.600,0.052,0.050446,0.050446,0.013,0.34,0.24
10.700,0.052,0.051234,0.051234,0.014,0.35,0.25
10.800,0.052,0.051877,0.051877,0.014,0.35,0.26
10.900,0.053,0.052147,0.052147,0.014,0.35,0.25
11.000,0.054,0.052345,0.052345,0.014,0.36,0.25
11.100,0.054,0.053024,0.053024,0.014,0.36,0.26
11.200,0.054,0.053838,0.053838,0.016,0.37,0.29
11.300,0.055,0.054298,0.054298,0.015,0.37,0.27
11.400,0.056,0.054561,0.054561,0.015,0.37,0.27
11.500,0.056,0.054961,0.054961,0.015,0.37,0.27
11.600,0.056,0.055551,0.055551,0.014,0.38,0.26
11.700,0.057,0.056443,0.056443,0.014,0.38,0.26
11.800,0.058,0.056656,0.056656,0.014,0.39,0.26
11.900,0.058,0.057041,0.057041,0.013,0.39,0.24
12.000,0.058,0.057719,0.057719,0.015,0.39,0.26
12.100,0.059,0.058398,0.058398,0.014,0.40,0.26
12.200,0.060,0.058934,0.058934,0.015,0.40,0.28
12.300,0.060,0.059293,0.059293,0.016,0.40,0.28
12.400,0.060,0.059494,0.059494,0.015,0.40,0.26
12.500,0.061,0.060211,0.060211,0.015,0.41,0.28
12.600,0.062,0.060730,0.060730,0.015,0.41,0.27
12.700,0.062,0.061337,0.061337,0.015,0.42,0.26
12.800,0.062,0.061550,0.061550,0.014,0.42,0.25
12.900,0.063,0.062048,0.062048,0.015,0.42,0.27
13.000,0.064,0.062812,0.062812,0.016,0.43,0.28
13.100,0.064,0.063440,0.063440,0.015,0.43,0.27
13.200,0.064,0.063781,0.063781,0.016,0.43,0.28
13.300,0.065,0.064080,0.064080,0.015,0.44,0.28
13.400,0.066,0.064371,0.064371,0.014,0.44,0.26
13.500,0.066,0.065434,0.065434,0.016,0.44,0.29
13.600,0.066,0.065763,0.065763,0.015,0.45,0.27
13.700,0.067,0.066308,0.066308,0.015,0.45,0.27
13.800,0.068,0.066519,0.066519,0.016,0.45,0.28
13.900,0.068,0.067093,0.067093,0.016,0.46,0.29
14.000,0.068,0.067751,0.067751,0.017,0.46,0.31
14.100,0.069,0.068403,0.068403,0.014,0.47,0.26
14.200,0.070,0.068596,0.068596,0.016,0.47,0.28
14.300,0.070,0.068984,0.068984,0.017,0.47,0.30
14.400,0.071,0.069778,0.069778,0.016,0.47,0.29
14.500,0.071,0.070246,0.070246,0.017,0.48,0.31
14.600,0.072,0.070877,0.070877,0.017,0.48,0.31
14.700,0.072,0.071232,0.071232,0.015,0.48,0.27
14.800,0.072,0.071431,0.071431,0.017,0.49,0.31
14.900,0.073,0.072032,0.072032,0.015,0.49,0.28
15.000,0.074,0.072690,0.072690,0.016,0.49,0.28
15.100,0.074,0.073345,0.073345,0.016,0.50,0.29
15.200,0.074,0.073588,0.073588,0.016,0.50,0.29
15.300,0.075,0.074124,0.074124,0.016,0.50,0.30
15.400,0.076,0.074557,0.074557,0.016,0.51,0.28
15.500,0.076,0.075256,0.075256,0.016,0.51,0.29
15.600,0.076,0.075884,0.075884,0.017,0.52,0.31
15.700,0.077,0.076189,0.076189,0.017,0.52,0.30
15.800,0.078,0.076592,0.076592,0.016,0.52,0.29
15.900,0.078,0.077033,0.077033,0.016,0.52,0.29
16.000,0.078,0.077593,0.077593,0.017,0.53,0.30
16.100,0.079,0.078156,0.078156,0.016,0.53,0.30
16.200,0.080,0.078515,0.078515,0.015,0.53,0.27
16.300,0.080,0.078983,0.078983,0.016,0.54,0.28
16.400,0.080,0.079421,0.079421,0.015,0.54,0.28
16.500,0.081,0.080183,0.080183,0.017,0.55,0.30
16.600,0.082,0.080823,0.080823,0.016,0.55,0.29
16.700,0.082,0.081095,0.081095,0.016,0.55,0.29
16.800,0.082,0.081454,0.081454,0.017,0.55,0.30
16.900,0.083,0.081984,0.081984,0.016,0.56,0.29
17.000,0.084,0.082606,0.082606,0.016,0.56,0.29
17.100,0.084,0.083134,0.083134,0.017,0.57,0.30
17.200,0.084,0.083454,0.083454,0.018,0.57,0.32
17.300,0.085,0.083999,0.083999,0.017,0.57,0.31
17.400,0.086,0.084313,0.084313,0.018,0.57,0.32
17.500,0.086,0.084867,0.084867,0.018,0.58,0.33
17.600,0.087,0.085415,0.085415,0.018,0.58,0.32
17.700,0.087,0.085895,0.085895,0.017,0.58,0.31
17.800,0.088,0.086425,0.086425,0.018,0.59,0.32
17.900,0.088,0.086864,0.086864,0.017,0.59,0.32
18.000,0.088,0.087195,0.087195,0.018,0.59,0.32
18.100,0.089,0.087844,0.087844,0.018,0.60,0.32
18.200,0.090,0.088315,0.088315,0.019,0.60,0.34
18.300,0.090,0.088831,0.088831,0.018,0.60,0.32
18.400,0.090,0.089483,0.089483,0.017,0.61,0.31
18.500,0.091,0.089672,0.089672,0.016,0.61,0.29
18.600,0.092,0.090217,0.090217,0.019,0.61,0.35
18.700,0.092,0.090626,0.090626,0.019,0.62,0.34
18.800,0.092,0.091379,0.091379,0.019,0.62,0.34
18.900,0.093,0.091773,0.091773,0.019,0.62,0.34
19.000,0.094,0.092075,0.092075,0.018,0.63,0.33
19.100,0.094,0.092688,0.092688,0.018,0.63,0.33
19.200,0.094,0.093254,0.093254,0.017,0.63,0.31
19.300,0.095,0.093716,0.093716,0.019,0.64,0.35
19.400,0.096,0.094110,0.094110,0.017,0.64,0.32
19.500,0.096,0.094525,0.094525,0.018,0.64,0.32
19.600,0.096,0.095293,0.095293,0.018,0.65,0.32
19.700,0.097,0.095684,0.095684,0.018,0.65,0.32
19.800,0.098,0.096187,0.096187,0.017,0.65,0.31
19.900,0.098,0.096492,0.096492,0.018,0.66,0.33
