"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000119,-0.000119,0.005,0.00,0.10
0.400,0.000,0.000637,0.000637,0.007,0.00,0.13
0.500,0.001,0.001120,0.001120,0.009,0.01,0.16
0.600,0.002,0.001629,0.001629,0.008,0.01,0.15
0.700,0.002,0.002098,0.002098,0.007,0.01,0.14
0.800,0.002,0.002563,0.002563,0.008,0.02,0.15
0.900,0.003,0.003256,0.003256,0.008,0.02,0.14
1.000,0.004,0.003615,0.003615,0.009,0.02,0.16
1.100,0.004,0.004151,0.004151,0.008,0.03,0.15
1.200,0.005,0.004646,0.004646,0.008,0.03,0.14
1.300,0.005,0.004942,0.004942,0.008,0.03,0.14
1.400,0.006,0.005694,0.005694,0.008,0.04,0.14
1.500,0.006,0.006154,0.006154,0.009,0.04,0.17
1.600,0.006,0.006583,0.006583,0.008,0.04,0.15
1.700,0.007,0.006897,0.006897,0.008,0.05,0.14
1.800,0.008,0.007721,0.007721,0.009,0.05,0.16
1.900,0.008,0.008070,0.008070,0.009,0.05,0.17
2.000,0.008,0.008633,0.008633,0.008,0.06,0.15
2.100,0.009,0.008900,0.008900,0.009,0.06,0.17
2.200,0.010,0.009561,0.009561,0.009,0.06,0.16
2.300,0.010,0.010174,0.010174,0.009,0.07,0.17
2.400,0.010,0.010423,0.010423,0.010,0.07,0.18
2.500,0.011,0.010758,0.010758,0.009,0.07,0.16
2.600,0.012,0.011415,0.011415,0.009,0.07,0.17
2.700,0.012,0.012260,0.012260,0.008,0.08,0.15
2.800,0.012,0.012648,0.012648,0.009,0.08,0.16
2.900,0.013,0.013261,0.013261,0.010,0.09,0.19
3.000,0.014,0.013341,0.013341,0.009,0.09,0.17
3.100,0.014,0.013777,0.013777,0.011,0.09,0.20
3.200,0.014,0.014135,0.014135,0.010,0.09,0.18
3.300,0.015,0.014876,0.014876,0.011,0.10,0.19
3.400,0.016,0.015240,0.015240,0.010,0.10,0.19
3.500,0.016,0.015391,0.015391,0.010,0.10,0.18
3.600,0.016,0.016585,0.016585,0.011,0.11,0.19
3.700,0.017,0.016573,0.016573,0.010,0.11,0.19
3.800,0.018,0.016953,0.016953,0.011,0.11,0.20
3.900,0.018,0.017314,0.017314,0.010,0.11,0.18
4.000,0.018,0.018087,0.018087,0.010,0.12,0.18
4.100,0.019,0.019050,0.019050,0.011,0.12,0.20
4.200,0.020,0.019187,0.019187,0.011,0.13,0.21
4.300,0.020,0.019468,0.019468,0.011,0.13,0.19
