"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.000021,-0.000021,0.004,0.00,0.08
0.350,0.000,0.000216,0.000216,0.005,0.00,0.10
0.450,0.000,0.000610,0.000610,0.005,0.00,0.10
0.550,0.001,0.001268,0.001268,0.006,0.01,0.11
0.650,0.002,0.001810,0.001810,0.005,0.01,0.10
0.750,0.002,0.002284,0.002284,0.006,0.02,0.12
0.850,0.002,0.002512,0.002512,0.006,0.02,0.12
0.950,0.003,0.003238,0.003238,0.009,0.02,0.16
1.050,0.004,0.003757,0.003757,0.007,0.03,0.13
1.150,0.005,0.004349,0.004349,0.009,0.03,0.16
1.250,0.005,0.004693,0.004693,0.007,0.03,0.14
1.350,0.005,0.005327,0.005327,0.008,0.04,0.15
1.450,0.006,0.005851,0.005851,0.009,0.04,0.16
1.550,0.006,0.006325,0.006325,0.010,0.05,0.18
1.650,0.006,0.006767,0.006767,0.008,0.05,0.15
1.750,0.007,0.007250,0.007250,0.008,0.05,0.15
1.850,0.008,0.007641,0.007641,0.008,0.06,0.15
1.950,0.008,0.008352,0.008352,0.009,0.06,0.16
2.050,0.009,0.009244,0.009244,0.009,0.07,0.16
2.150,0.009,0.009629,0.009629,0.008,0.07,0.15
2.250,0.010,0.009845,0.009845,0.010,0.07,0.18
2.350,0.010,0.010417,0.010417,0.009,0.08,0.16
2.450,0.011,0.010995,0.010995,0.008,0.08,0.15
2.550,0.012,0.011475,0.011475,0.008,0.08,0.16
2.650,0.012,0.011700,0.011700,0.009,0.09,0.16
2.750,0.012,0.012269,0.012269,0.009,0.09,0.16
2.850,0.012,0.012612,0.012612,0.009,0.09,0.16
2.950,0.014,0.013403,0.013403,0.009,0.10,0.16
3.050,0.014,0.013990,0.013990,0.009,0.10,0.17
3.150,0.014,0.014574,0.014574,0.010,0.11,0.19
3.250,0.014,0.014657,0.014657,0.009,0.11,0.16
3.350,0.015,0.015125,0.015125,0.009,0.11,0.16
3.450,0.016,0.016055,0.016055,0.009,0.12,0.16
3.550,0.016,0.016132,0.016132,0.008,0.12,0.15
3.650,0.016,0.017163,0.017163,0.009,0.13,0.16
3.750,0.017,0.017299,0.017299,0.009,0.13,0.17
3.850,0.018,0.018019,0.018019,0.010,0.13,0.18
3.950,0.018,0.018407,0.018407,0.011,0.13,0.20
4.050,0.018,0.018564,0.018564,0.009,0.14,0.17
4.150,0.019,0.019779,0.019779,0.010,0.14,0.19
4.250,0.020,0.019992,0.019992,0.010,0.15,0.19
4.350,0.020,0.020434,0.020434,0.010,0.15,0.19
4.450,0.020,0.020860,0.020860,0.010,0.15,0.18
4.550,0.021,0.020949,0.020949,0.009,0.15,0.17
4.650,0.022,0.021820,0.021820,0.011,0.16,0.19
4.750,0.022,0.021657,0.021657,0.010,0.16,0.18
4.850,0.022,0.022333,0.022333,0.011,0.16,0.20
4.950,0.023,0.022928,0.022928,0.010,0.17,0.18
5.050,0.024,0.023225,0.023225,0.012,0.17,0.21
5.150,0.024,0.024134,0.024134,0.010,0.18,0.19
5.250,0.024,0.024113,0.024113,0.011,0.18,0.21
5.350,0.025,0.024650,0.024650,0.011,0.18,0.20
5.450,0.026,0.025189,0.025189,0.011,0.18,0.21
5.550,0.026,0.025544,0.025544,0.011,0.19,0.19
5.650,0.026,0.026724,0.026724,0.011,0.19,0.19
5.750,0.027,0.026564,0.026564,0.011,0.19,0.20
5.850,0.028,0.027260,0.027260,0.011,0.20,0.20
5.950,0.028,0.027891,0.027891,0.011,0.20,0.21
6.050,0.029,0.028318,0.028318,0.013,0.21,0.23
6.150,0.029,0.028735,0.028735,0.012,0.21,0.22
6.250,0.030,0.029550,0.029550,0.010,0.22,0.19
6.350,0.030,0.029932,0.029932,0.012,0.22,0.23
6.450,0.030,0.030116,0.030116,0.012,0.22,0.22
6.550,0.032,0.030919,0.030919,0.011,0.23,0.21
6.650,0.032,0.031150,0.031150,0.013,0.23,0.24
6.750,0.032,0.031609,0.031609,0.011,0.23,0.21
6.850,0.032,0.032175,0.032175,0.010,0.23,0.19
6.950,0.033,0.032409,0.032409,0.013,0.24,0.23
7.050,0.034,0.032933,0.032933,0.012,0.24,0.22
7.150,0.034,0.033479,0.033479,0.013,0.24,0.24
7.250,0.035,0.033944,0.033944,0.013,0.25,0.23
7.350,0.035,0.034510,0.034510,0.013,0.25,0.24
7.450,0.036,0.034841,0.034841,0.013,0.25,0.24
7.550,0.036,0.035087,0.035087,0.012,0.26,0.22
7.650,0.036,0.035896,0.035896,0.013,0.26,0.25
7.750,0.037,0.036465,0.036465,0.013,0.27,0.23
7.850,0.038,0.036672,0.036672,0.012,0.27,0.23
7.950,0.038,0.037158,0.037158,0.012,0.27,0.22
8.050,0.038,0.037594,0.037594,0.013,0.27,0.25
8.150,0.039,0.038080,0.038080,0.013,0.28,0.23
8.250,0.040,0.038761,0.038761,0.014,0.28,0.25
8.350,0.040,0.039413,0.039413,0.013,0.29,0.23
8.450,0.040,0.039357,0.039357,0.012,0.29,0.23
8.550,0.041,0.040026,0.040026,0.012,0.29,0.23
8.650,0.042,0.040580,0.040580,0.011,0.30,0.21
8.750,0.042,0.041193,0.041193,0.013,0.30,0.24
8.850,0.043,0.041614,0.041614,0.012,0.30,0.22
8.950,0.043,0.041976,0.041976,0.013,0.31,0.24
9.050,0.044,0.042242,0.042242,0.015,0.31,0.28
9.150,0.044,0.042906,0.042906,0.013,0.31,0.25
9.250,0.045,0.043694,0.043694,0.014,0.32,0.26
9.350,0.045,0.044035,0.044035,0.013,0.32,0.24
9.450,0.046,0.044281,0.044281,0.013,0.32,0.23
9.550,0.046,0.044621,0.044621,0.014,0.32,0.25
9.650,0.046,0.045119,0.045119,0.014,0.33,0.27
9.750,0.047,0.045759,0.045759,0.013,0.33,0.25
9.850,0.048,0.046153,0.046153,0.014,0.34,0.26
9.950,0.048,0.046586,0.046586,0.014,0.34,0.25
10.050,0.048,0.047036,0.047036,0.016,0.34,0.29
10.150,0.049,0.047783,0.047783,0.015,0.35,0.27
10.250,0.050,0.048425,0.048425,0.015,0.35,0.27
10.350,0.050,0.048571,0.048571,0.014,0.35,0.26
10.450,0.051,0.049086,0.049086,0.016,0.36,0.29
10.550,0.051,0.049489,0.049489,0.014,0.36,0.25
10.650,0.052,0.050162,0.050162,0.013,0.37,0.24
10.750,0.052,0.050733,0.050733,0.014,0.37,0.25
10.850,0.052,0.050935,0.050935,0.016,0.37,0.28
10.950,0.053,0.051163,0.051163,0.014,0.37,0.26
11.050,0.054,0.051948,0.051948,0.014,0.38,0.26
11.150,0.054,0.052440,0.052440,0.014,0.38,0.26
11.250,0.054,0.053068,0.053068,0.015,0.39,0.27
11.350,0.055,0.053299,0.053299,0.015,0.39,0.27
11.450,0.056,0.053862,0.053862,0.015,0.39,0.28
11.550,0.056,0.054283,0.054283,0.015,0.40,0.28
11.650,0.056,0.054860,0.054860,0.016,0.40,0.29
11.750,0.057,0.055225,0.055225,0.016,0.40,0.28
11.850,0.058,0.055625,0.055625,0.016,0.41,0.29
11.950,0.058,0.056197,0.056197,0.015,0.41,0.27
12.050,0.058,0.056677,0.056677,0.015,0.41,0.28
12.150,0.059,0.056952,0.056952,0.016,0.41,0.29
12.250,0.060,0.057663,0.057663,0.015,0.42,0.28
12.350,0.060,0.058131,0.058131,0.015,0.42,0.27
12.450,0.060,0.058685,0.058685,0.016,0.43,0.29
12.550,0.061,0.058881,0.058881,0.015,0.43,0.27
12.650,0.062,0.059233,0.059233,0.015,0.43,0.28
12.750,0.062,0.059918,0.059918,0.015,0.44,0.27
12.850,0.062,0.060821,0.060821,0.016,0.44,0.28
12.950,0.063,0.061082,0.061082,0.016,0.44,0.30
13.050,0.064,0.061124,0.061124,0.016,0.45,0.30
13.150,0.064,0.061521,0.061521,0.017,0.45,0.31
