"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000113,-0.000113,0.004,0.00,0.08
0.400,0.000,-0.000453,-0.000453,0.005,0.00,0.10
0.500,0.001,-0.000015,-0.000015,0.005,0.00,0.10
0.600,0.002,0.000113,0.000113,0.007,0.00,0.12
0.700,0.002,-0.000388,-0.000388,0.006,0.00,0.11
0.800,0.002,-0.000018,-0.000018,0.007,0.00,0.13
0.900,0.003,0.000447,0.000447,0.008,0.00,0.14
1.000,0.004,0.000095,0.000095,0.007,0.00,0.12
1.100,0.004,0.000009,0.000009,0.007,0.00,0.12
1.200,0.005,0.000276,0.000276,0.007,0.00,0.14
1.300,0.005,0.000684,0.000684,0.007,0.00,0.14
1.400,0.006,0.000800,0.000800,0.007,0.01,0.13
1.500,0.006,0.001052,0.001052,0.007,0.01,0.13
1.600,0.006,0.001247,0.001247,0.007,0.01,0.13
1.700,0.007,0.001289,0.001289,0.007,0.01,0.14
1.800,0.008,0.001493,0.001493,0.009,0.01,0.17
1.900,0.008,0.002142,0.002142,0.008,0.01,0.15
2.000,0.008,0.002018,0.002018,0.009,0.01,0.16
2.100,0.009,0.002723,0.002723,0.008,0.02,0.15
2.200,0.010,0.003188,0.003188,0.009,0.02,0.17
2.300,0.010,0.003523,0.003523,0.009,0.02,0.16
2.400,0.010,0.003929,0.003929,0.010,0.03,0.18
2.500,0.011,0.004207,0.004207,0.009,0.03,0.16
2.600,0.012,0.004311,0.004311,0.010,0.03,0.19
2.700,0.012,0.005354,0.005354,0.011,0.04,0.19
2.800,0.012,0.005522,0.005522,0.011,0.04,0.20
2.900,0.013,0.005608,0.005608,0.009,0.04,0.16
3.000,0.014,0.006115,0.006115,0.009,0.04,0.17
3.100,0.014,0.006871,0.006871,0.010,0.05,0.19
3.200,0.014,0.007081,0.007081,0.009,0.05,0.17
3.300,0.015,0.007587,0.007587,0.011,0.05,0.21
3.400,0.016,0.007573,0.007573,0.010,0.05,0.18
3.500,0.016,0.007907,0.007907,0.010,0.06,0.18
3.600,0.016,0.008503,0.008503,0.010,0.06,0.19
3.700,0.017,0.008811,0.008811,0.012,0.06,0.21
3.800,0.018,0.009418,0.009418,0.010,0.07,0.19
3.900,0.018,0.009691,0.009691,0.011,0.07,0.20
4.000,0.018,0.010292,0.010292,0.011,0.07,0.21
4.100,0.019,0.010660,0.010660,0.012,0.07,0.22
4.200,0.020,0.010974,0.010974,0.011,0.08,0.19
4.300,0.020,0.011531,0.011531,0.011,0.08,0.21
4.400,0.020,0.012058,0.012058,0.012,0.08,0.22
4.500,0.021,0.012467,0.012467,0.012,0.09,0.21
4.600,0.022,0.012692,0.012692,0.012,0.09,0.21
4.700,0.022,0.013172,0.013172,0.013,0.09,0.23
4.800,0.022,0.013534,0.013534,0.011,0.09,0.21
4.900,0.023,0.014159,0.014159,0.012,0.10,0.22
5.000,0.024,0.014393,0.014393,0.012,0.10,0.23
5.100,0.024,0.014745,0.014745,0.013,0.10,0.25
5.200,0.024,0.015134,0.015134,0.012,0.11,0.23
5.300,0.025,0.015631,0.015631,0.013,0.11,0.23
5.400,0.026,0.016304,0.016304,0.012,0.11,0.23
5.500,0.026,0.016422,0.016422,0.012,0.11,0.22
5.600,0.026,0.016760,0.016760,0.013,0.12,0.25
5.700,0.027,0.017110,0.017110,0.011,0.12,0.21
5.800,0.028,0.017773,0.017773,0.012,0.12,0.23
5.900,0.028,0.017883,0.017883,0.013,0.13,0.24
6.000,0.028,0.018342,0.018342,0.012,0.13,0.21
6.100,0.029,0.018644,0.018644,0.013,0.13,0.23
6.200,0.030,0.019234,0.019234,0.013,0.13,0.24
6.300,0.030,0.019584,0.019584,0.014,0.14,0.26
6.400,0.030,0.019841,0.019841,0.014,0.14,0.25
6.500,0.031,0.020247,0.020247,0.014,0.14,0.26
6.600,0.032,0.020650,0.020650,0.013,0.14,0.24
6.700,0.032,0.021219,0.021219,0.014,0.15,0.26
6.800,0.032,0.021334,0.021334,0.012,0.15,0.22
6.900,0.033,0.021634,0.021634,0.012,0.15,0.22
7.000,0.034,0.022194,0.022194,0.013,0.16,0.24
7.100,0.034,0.022688,0.022688,0.013,0.16,0.25
7.200,0.035,0.022920,0.022920,0.014,0.16,0.26
7.300,0.035,0.023269,0.023269,0.013,0.16,0.24
7.400,0.036,0.023634,0.023634,0.013,0.17,0.25
7.500,0.036,0.024078,0.024078,0.013,0.17,0.25
7.600,0.036,0.024682,0.024682,0.014,0.17,0.26
7.700,0.037,0.024810,0.024810,0.013,0.17,0.24
7.800,0.038,0.025133,0.025133,0.013,0.18,0.24
7.900,0.038,0.025542,0.025542,0.013,0.18,0.23
8.000,0.038,0.025986,0.025986,0.014,0.18,0.25
8.100,0.039,0.026232,0.026232,0.014,0.18,0.25
8.200,0.040,0.026549,0.026549,0.014,0.19,0.26
8.300,0.040,0.026815,0.026815,0.014,0.19,0.25
8.400,0.040,0.027307,0.027307,0.013,0.19,0.25
8.500,0.041,0.027704,0.027704,0.013,0.19,0.25
8.600,0.042,0.027962,0.027962,0.015,0.20,0.28
8.700,0.042,0.028232,0.028232,0.014,0.20,0.26
