"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.350,0.001,0.000172,0.000172,0.009,0.00,0.18
0.550,0.002,0.000723,0.000723,0.010,0.01,0.20
0.750,0.003,0.001875,0.001875,0.009,0.01,0.18
0.950,0.004,0.002373,0.002373,0.010,0.02,0.19
1.150,0.005,0.003585,0.003585,0.010,0.03,0.19
1.350,0.006,0.004397,0.004397,0.011,0.03,0.20
1.550,0.007,0.005191,0.005191,0.011,0.04,0.20
1.750,0.008,0.006044,0.006044,0.011,0.04,0.21
1.950,0.009,0.006785,0.006785,0.012,0.05,0.22
2.150,0.010,0.007730,0.007730,0.011,0.05,0.21
2.350,0.011,0.008684,0.008684,0.011,0.06,0.21
2.550,0.012,0.009688,0.009688,0.011,0.07,0.21
2.750,0.013,0.010538,0.010538,0.013,0.07,0.24
2.950,0.014,0.011552,0.011552,0.012,0.08,0.22
3.150,0.015,0.012523,0.012523,0.012,0.09,0.22
3.350,0.016,0.014982,0.014982,0.012,0.10,0.22
3.550,0.017,0.016150,0.016150,0.012,0.11,0.24
3.750,0.018,0.016647,0.016647,0.011,0.12,0.22
3.950,0.019,0.018102,0.018102,0.012,0.13,0.22
4.150,0.020,0.018630,0.018630,0.013,0.13,0.25
4.350,0.021,0.019631,0.019631,0.013,0.14,0.24
4.550,0.022,0.020846,0.020846,0.012,0.15,0.23
4.750,0.023,0.021497,0.021497,0.013,0.15,0.25
4.950,0.024,0.022380,0.022380,0.014,0.16,0.26
5.150,0.025,0.023417,0.023417,0.013,0.16,0.25
5.350,0.026,0.024176,0.024176,0.012,0.17,0.23
5.550,0.027,0.025233,0.025233,0.013,0.18,0.25
5.750,0.028,0.026024,0.026024,0.012,0.18,0.23
5.950,0.029,0.026744,0.026744,0.014,0.19,0.26
6.150,0.030,0.028030,0.028030,0.012,0.20,0.23
6.350,0.031,0.028723,0.028723,0.013,0.20,0.24
6.550,0.032,0.029683,0.029683,0.014,0.21,0.26
6.750,0.033,0.030611,0.030611,0.014,0.21,0.27
6.950,0.034,0.031283,0.031283,0.013,0.22,0.24
7.150,0.035,0.032498,0.032498,0.014,0.23,0.26
7.350,0.036,0.033019,0.033019,0.014,0.23,0.26
7.550,0.037,0.034361,0.034361,0.015,0.24,0.28
7.750,0.038,0.035185,0.035185,0.014,0.25,0.27
7.950,0.039,0.036089,0.036089,0.015,0.25,0.28
8.150,0.040,0.037114,0.037114,0.014,0.26,0.26
8.350,0.041,0.038240,0.038240,0.014,0.27,0.27
8.550,0.042,0.039025,0.039025,0.015,0.27,0.29
8.750,0.043,0.040192,0.040192,0.016,0.28,0.30
8.950,0.044,0.041389,0.041389,0.015,0.29,0.29
9.150,0.045,0.042213,0.042213,0.015,0.30,0.28
9.350,0.046,0.043279,0.043279,0.014,0.30,0.27
9.550,0.047,0.044171,0.044171,0.016,0.31,0.31
9.750,0.048,0.045015,0.045015,0.016,0.31,0.29
9.950,0.049,0.046209,0.046209,0.016,0.32,0.30
10.150,0.050,0.047569,0.047569,0.017,0.33,0.32
10.350,0.051,0.048031,0.048031,0.015,0.34,0.28
10.550,0.052,0.049471,0.049471,0.017,0.35,0.32
10.750,0.053,0.050239,0.050239,0.016,0.35,0.31
10.950,0.054,0.051284,0.051284,0.016,0.36,0.30
11.150,0.055,0.052822,0.052822,0.016,0.37,0.31
11.350,0.056,0.053406,0.053406,0.017,0.37,0.33
11.550,0.057,0.054271,0.054271,0.017,0.38,0.32
11.750,0.058,0.055432,0.055432,0.017,0.39,0.31
11.950,0.059,0.056428,0.056428,0.018,0.39,0.35
12.150,0.060,0.057207,0.057207,0.017,0.40,0.33
12.350,0.061,0.058768,0.058768,0.018,0.41,0.35
12.550,0.062,0.059393,0.059393,0.017,0.42,0.32
12.750,0.063,0.060359,0.060359,0.018,0.42,0.35
12.950,0.064,0.061429,0.061429,0.017,0.43,0.32
13.150,0.065,0.062540,0.062540,0.017,0.44,0.32
13.350,0.066,0.063669,0.063669,0.019,0.45,0.36
13.550,0.067,0.064392,0.064392,0.018,0.45,0.35
13.750,0.068,0.066098,0.066098,0.019,0.46,0.36
13.950,0.069,0.066240,0.066240,0.018,0.46,0.35
14.150,0.070,0.068086,0.068086,0.019,0.48,0.37
14.350,0.071,0.068993,0.068993,0.019,0.48,0.36
14.550,0.072,0.069369,0.069369,0.020,0.49,0.39
14.750,0.073,0.071443,0.071443,0.018,0.50,0.35
14.950,0.074,0.071327,0.071327,0.019,0.50,0.36
15.150,0.075,0.073211,0.073211,0.020,0.51,0.38
15.350,0.076,0.074008,0.074008,0.019,0.52,0.37
15.550,0.077,0.074571,0.074571,0.021,0.52,0.39
15.750,0.078,0.076148,0.076148,0.021,0.53,0.41
15.950,0.079,0.076740,0.076740,0.021,0.54,0.40
16.150,0.080,0.077762,0.077762,0.021,0.54,0.40
16.350,0.081,0.079146,0.079146,0.021,0.55,0.39
16.550,0.082,0.079389,0.079389,0.021,0.56,0.40
16.750,0.083,0.081077,0.081077,0.021,0.57,0.39
16.950,0.084,0.081596,0.081596,0.021,0.57,0.40
17.150,0.085,0.082517,0.082517,0.021,0.58,0.39
17.350,0.086,0.084393,0.084393,0.021,0.59,0.39
17.550,0.087,0.084576,0.084576,0.021,0.59,0.41
17.750,0.088,0.086289,0.086289,0.023,0.60,0.43
17.950,0.089,0.087163,0.087163,0.022,0.61,0.41
18.150,0.090,0.087818,0.087818,0.023,0.61,0.44
18.350,0.091,0.089089,0.089089,0.022,0.62,0.42
18.550,0.092,0.090093,0.090093,0.024,0.63,0.45
18.750,0.093,0.090697,0.090697,0.023,0.63,0.43
18.950,0.094,0.091820,0.091820,0.024,0.64,0.45
19.150,0.095,0.092679,0.092679,0.024,0.65,0.46
19.350,0.096,0.093524,0.093524,0.023,0.65,0.44
19.550,0.097,0.094907,0.094907,0.023,0.66,0.44
19.750,0.098,0.095423,0.095423,0.023,0.67,0.44
19.950,0.099,0.096812,0.096812,0.025,0.68,0.48
20.150,0.100,0.097636,0.097636,0.025,0.68,0.47
20.350,0.101,0.098759,0.098759,0.024,0.69,0.45
20.550,0.102,0.099965,0.099965,0.026,0.70,0.48
20.750,0.103,0.100738,0.100738,0.026,0.70,0.49
20.950,0.104,0.101600,0.101600,0.025,0.71,0.48
21.150,0.105,0.102933,0.102933,0.025,0.72,0.46
21.350,0.106,0.103683,0.103683,0.026,0.73,0.49
21.550,0.107,0.104874,0.104874,0.027,0.73,0.51
21.750,0.108,0.106139,0.106139,0.026,0.74,0.50
21.950,0.109,0.106361,0.106361,0.027,0.74,0.51
22.150,0.110,0.108038,0.108038,0.026,0.76,0.50
22.350,0.111,0.108764,0.108764,0.028,0.76,0.53
22.550,0.112,0.109955,0.109955,0.028,0.77,0.53
22.750,0.113,0.110761,0.110761,0.028,0.77,0.54
22.950,0.114,0.111641,0.111641,0.028,0.78,0.53
23.150,0.115,0.113054,0.113054,0.028,0.79,0.54
23.350,0.116,0.113552,0.113552,0.028,0.79,0.52
23.550,0.117,0.114595,0.114595,0.029,0.80,0.54
23.750,0.118,0.115700,0.115700,0.032,0.81,0.60
23.950,0.119,0.116648,0.116648,0.031,0.82,0.59
24.150,0.120,0.117545,0.117545,0.032,0.82,0.60
24.350,0.121,0.118556,0.118556,0.032,0.83,0.60
24.550,0.122,0.119424,0.119424,0.032,0.84,0.60
24.750,0.123,0.120644,0.120644,0.032,0.84,0.60
24.950,0.124,0.121536,0.121536,0.031,0.85,0.60
25.150,0.125,0.122538,0.122538,0.033,0.86,0.62
