"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.002575,-0.002575,0.007,-0.02,0.13
0.350,0.000,-0.001988,-0.001988,0.008,-0.01,0.15
0.450,0.000,-0.001203,-0.001203,0.009,-0.01,0.17
0.550,0.001,-0.001141,-0.001141,0.010,-0.01,0.18
0.650,0.002,-0.000456,-0.000456,0.010,0.00,0.19
0.750,0.002,-0.000086,-0.000086,0.010,0.00,0.19
0.850,0.002,0.000329,0.000329,0.010,0.00,0.18
0.950,0.003,0.000838,0.000838,0.011,0.01,0.19
1.050,0.004,0.001603,0.001603,0.012,0.01,0.22
1.150,0.004,0.002062,0.002062,0.011,0.01,0.20
1.250,0.005,0.002480,0.002480,0.010,0.02,0.19
1.350,0.005,0.002625,0.002625,0.010,0.02,0.18
1.450,0.006,0.003286,0.003286,0.011,0.02,0.20
1.550,0.006,0.004192,0.004192,0.012,0.03,0.22
1.650,0.006,0.004726,0.004726,0.011,0.03,0.20
1.750,0.007,0.004755,0.004755,0.011,0.03,0.20
1.850,0.008,0.005280,0.005280,0.011,0.04,0.21
1.950,0.008,0.005777,0.005777,0.012,0.04,0.21
2.050,0.008,0.006103,0.006103,0.013,0.04,0.24
2.150,0.009,0.006811,0.006811,0.011,0.05,0.21
2.250,0.010,0.007519,0.007519,0.012,0.05,0.23
2.350,0.010,0.008079,0.008079,0.012,0.06,0.23
2.450,0.010,0.008547,0.008547,0.012,0.06,0.23
2.550,0.011,0.008619,0.008619,0.013,0.06,0.23
2.650,0.012,0.009261,0.009261,0.013,0.06,0.24
2.750,0.012,0.009700,0.009700,0.013,0.07,0.24
2.850,0.012,0.010598,0.010598,0.015,0.07,0.26
2.950,0.013,0.010784,0.010784,0.013,0.07,0.23
3.050,0.014,0.011602,0.011602,0.012,0.08,0.23
3.150,0.014,0.011528,0.011528,0.013,0.08,0.25
3.250,0.014,0.012058,0.012058,0.015,0.08,0.27
3.350,0.015,0.012624,0.012624,0.015,0.09,0.27
3.450,0.016,0.013279,0.013279,0.013,0.09,0.24
3.550,0.016,0.014123,0.014123,0.014,0.10,0.26
3.650,0.016,0.014550,0.014550,0.013,0.10,0.25
3.750,0.017,0.014674,0.014674,0.014,0.10,0.26
3.850,0.018,0.015516,0.015516,0.014,0.11,0.26
3.950,0.018,0.016215,0.016215,0.015,0.11,0.26
4.050,0.018,0.016280,0.016280,0.015,0.11,0.27
4.150,0.019,0.017516,0.017516,0.015,0.12,0.28
4.250,0.020,0.018111,0.018111,0.014,0.13,0.26
4.350,0.020,0.018061,0.018061,0.015,0.13,0.27
4.450,0.020,0.018550,0.018550,0.015,0.13,0.27
4.550,0.021,0.019228,0.019228,0.015,0.13,0.28
4.650,0.022,0.020253,0.020253,0.016,0.14,0.30
4.750,0.022,0.020555,0.020555,0.014,0.14,0.26
4.850,0.022,0.021201,0.021201,0.017,0.15,0.30
4.950,0.023,0.021009,0.021009,0.016,0.15,0.29
5.050,0.024,0.022268,0.022268,0.016,0.15,0.29
5.150,0.024,0.022591,0.022591,0.017,0.16,0.30
5.250,0.024,0.023097,0.023097,0.015,0.16,0.28
5.350,0.025,0.023216,0.023216,0.015,0.16,0.28
5.450,0.026,0.023740,0.023740,0.015,0.16,0.28
5.550,0.026,0.024739,0.024739,0.016,0.17,0.28
5.650,0.026,0.025266,0.025266,0.016,0.18,0.29
5.750,0.027,0.025550,0.025550,0.016,0.18,0.29
5.850,0.028,0.026021,0.026021,0.015,0.18,0.28
5.950,0.028,0.026193,0.026193,0.016,0.18,0.29
6.050,0.028,0.027239,0.027239,0.015,0.19,0.27
6.150,0.029,0.027162,0.027162,0.016,0.19,0.29
6.250,0.030,0.027734,0.027734,0.016,0.19,0.29
6.350,0.030,0.027897,0.027897,0.017,0.19,0.31
6.450,0.030,0.029331,0.029331,0.017,0.20,0.30
6.550,0.031,0.029129,0.029129,0.018,0.20,0.32
6.650,0.032,0.029991,0.029991,0.017,0.21,0.31
6.750,0.032,0.030676,0.030676,0.017,0.21,0.32
6.850,0.032,0.030984,0.030984,0.017,0.21,0.32
6.950,0.033,0.031114,0.031114,0.018,0.22,0.33
7.050,0.034,0.032169,0.032169,0.017,0.22,0.32
7.150,0.034,0.032305,0.032305,0.017,0.22,0.32
7.250,0.035,0.033022,0.033022,0.017,0.23,0.31
7.350,0.035,0.033328,0.033328,0.017,0.23,0.30
7.450,0.036,0.034024,0.034024,0.018,0.24,0.33
7.550,0.036,0.034036,0.034036,0.018,0.24,0.33
7.650,0.036,0.034818,0.034818,0.018,0.24,0.33
7.750,0.037,0.035641,0.035641,0.017,0.25,0.31
7.850,0.038,0.035923,0.035923,0.018,0.25,0.33
7.950,0.038,0.036136,0.036136,0.020,0.25,0.36
8.050,0.038,0.036871,0.036871,0.019,0.26,0.35
8.150,0.039,0.037132,0.037132,0.018,0.26,0.34
8.250,0.040,0.038000,0.038000,0.019,0.26,0.35
8.350,0.040,0.038080,0.038080,0.020,0.26,0.37
8.450,0.040,0.038900,0.038900,0.018,0.27,0.34
8.550,0.041,0.039253,0.039253,0.019,0.27,0.35
8.650,0.042,0.039605,0.039605,0.019,0.27,0.35
8.750,0.042,0.040355,0.040355,0.019,0.28,0.34
8.850,0.043,0.040657,0.040657,0.018,0.28,0.33
8.950,0.043,0.041131,0.041131,0.018,0.29,0.34
9.050,0.044,0.041922,0.041922,0.018,0.29,0.34
9.150,0.044,0.042053,0.042053,0.018,0.29,0.33
9.250,0.044,0.042491,0.042491,0.018,0.29,0.33
9.350,0.045,0.043096,0.043096,0.019,0.30,0.35
9.450,0.046,0.043587,0.043587,0.019,0.30,0.34
9.550,0.046,0.044378,0.044378,0.019,0.31,0.35
9.650,0.046,0.044900,0.044900,0.018,0.31,0.33
9.750,0.047,0.045318,0.045318,0.018,0.31,0.32
9.850,0.048,0.045756,0.045756,0.019,0.32,0.34
9.950,0.048,0.046079,0.046079,0.020,0.32,0.36
10.050,0.048,0.046675,0.046675,0.020,0.32,0.37
10.150,0.049,0.047157,0.047157,0.020,0.33,0.36
10.250,0.050,0.047940,0.047940,0.019,0.33,0.35
10.350,0.050,0.048423,0.048423,0.020,0.34,0.36
10.450,0.051,0.048734,0.048734,0.021,0.34,0.37
10.550,0.051,0.049317,0.049317,0.019,0.34,0.35
10.650,0.052,0.049853,0.049853,0.020,0.35,0.37
10.750,0.052,0.050242,0.050242,0.021,0.35,0.39
10.850,0.052,0.050890,0.050890,0.021,0.35,0.38
10.950,0.053,0.051350,0.051350,0.020,0.36,0.37
11.050,0.054,0.051936,0.051936,0.020,0.36,0.37
11.150,0.054,0.052274,0.052274,0.020,0.36,0.37
11.250,0.054,0.052733,0.052733,0.021,0.37,0.38
11.350,0.055,0.053477,0.053477,0.021,0.37,0.39
11.450,0.056,0.053865,0.053865,0.020,0.37,0.37
11.550,0.056,0.054327,0.054327,0.021,0.38,0.38
11.650,0.056,0.054908,0.054908,0.023,0.38,0.42
11.750,0.057,0.055465,0.055465,0.021,0.38,0.39
11.850,0.058,0.055779,0.055779,0.022,0.39,0.39
11.950,0.058,0.056357,0.056357,0.021,0.39,0.38
12.050,0.058,0.056757,0.056757,0.022,0.39,0.40
12.150,0.059,0.057308,0.057308,0.022,0.40,0.41
12.250,0.060,0.058161,0.058161,0.022,0.40,0.41
12.350,0.060,0.058511,0.058511,0.023,0.41,0.43
12.450,0.060,0.058916,0.058916,0.022,0.41,0.41
12.550,0.061,0.059485,0.059485,0.022,0.41,0.41
12.650,0.062,0.059862,0.059862,0.022,0.41,0.40
12.750,0.062,0.060421,0.060421,0.022,0.42,0.40
12.850,0.062,0.060872,0.060872,0.021,0.42,0.39
12.950,0.063,0.061458,0.061458,0.022,0.43,0.41
13.050,0.064,0.061929,0.061929,0.023,0.43,0.42
13.150,0.064,0.062421,0.062421,0.022,0.43,0.40
13.250,0.064,0.062981,0.062981,0.023,0.44,0.43
13.350,0.065,0.063467,0.063467,0.022,0.44,0.41
13.450,0.066,0.063909,0.063909,0.024,0.44,0.45
13.550,0.066,0.064572,0.064572,0.025,0.45,0.45
13.650,0.066,0.065079,0.065079,0.023,0.45,0.42
13.750,0.067,0.065740,0.065740,0.023,0.46,0.43
13.850,0.068,0.065790,0.065790,0.023,0.46,0.43
13.950,0.068,0.066436,0.066436,0.024,0.46,0.43
14.050,0.069,0.067259,0.067259,0.024,0.47,0.45
14.150,0.069,0.067624,0.067624,0.025,0.47,0.45
14.250,0.070,0.067973,0.067973,0.024,0.47,0.44
14.350,0.070,0.068471,0.068471,0.024,0.47,0.43
14.450,0.071,0.068791,0.068791,0.025,0.48,0.45
14.550,0.071,0.069713,0.069713,0.025,0.48,0.45
14.650,0.072,0.069932,0.069932,0.024,0.48,0.45
14.750,0.072,0.070581,0.070581,0.024,0.49,0.44
14.850,0.072,0.070975,0.070975,0.025,0.49,0.46
14.950,0.073,0.071484,0.071484,0.025,0.50,0.45
15.050,0.074,0.071715,0.071715,0.024,0.50,0.44
15.150,0.074,0.072323,0.072323,0.026,0.50,0.47
15.250,0.074,0.072995,0.072995,0.025,0.51,0.45
15.350,0.075,0.073487,0.073487,0.026,0.51,0.48
15.450,0.076,0.074059,0.074059,0.026,0.51,0.47
15.550,0.076,0.074263,0.074263,0.026,0.51,0.48
15.650,0.076,0.074681,0.074681,0.026,0.52,0.48
