"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000116,-0.000116,0.005,0.00,0.11
0.400,0.000,0.000406,0.000406,0.008,0.00,0.16
0.500,0.001,0.000696,0.000696,0.007,0.00,0.16
0.600,0.002,0.000987,0.000987,0.007,0.01,0.15
0.700,0.002,0.001807,0.001807,0.009,0.01,0.18
0.800,0.002,0.002184,0.002184,0.009,0.01,0.19
0.900,0.003,0.002785,0.002785,0.008,0.02,0.17
1.000,0.004,0.003339,0.003339,0.008,0.02,0.18
1.100,0.004,0.003496,0.003496,0.010,0.02,0.22
1.200,0.005,0.004009,0.004009,0.010,0.03,0.21
1.300,0.005,0.004616,0.004616,0.010,0.03,0.21
1.400,0.006,0.005306,0.005306,0.009,0.03,0.19
1.500,0.006,0.005688,0.005688,0.009,0.04,0.19
1.600,0.006,0.006077,0.006077,0.009,0.04,0.20
1.700,0.007,0.006562,0.006562,0.010,0.04,0.20
1.800,0.008,0.007045,0.007045,0.011,0.05,0.23
1.900,0.008,0.007836,0.007836,0.010,0.05,0.21
2.000,0.008,0.008245,0.008245,0.011,0.05,0.23
2.100,0.009,0.008690,0.008690,0.010,0.06,0.21
2.200,0.010,0.008867,0.008867,0.011,0.06,0.24
2.300,0.010,0.009650,0.009650,0.011,0.06,0.22
2.400,0.010,0.010239,0.010239,0.011,0.07,0.24
2.500,0.011,0.011018,0.011018,0.012,0.07,0.26
2.600,0.012,0.011081,0.011081,0.011,0.07,0.24
2.700,0.012,0.011584,0.011584,0.012,0.07,0.26
2.800,0.012,0.012319,0.012319,0.012,0.08,0.25
2.900,0.013,0.012983,0.012983,0.013,0.08,0.29
3.000,0.014,0.013528,0.013528,0.012,0.09,0.25
3.100,0.014,0.013540,0.013540,0.013,0.09,0.28
3.200,0.014,0.014354,0.014354,0.013,0.09,0.28
3.300,0.015,0.014340,0.014340,0.013,0.09,0.27
3.400,0.016,0.014905,0.014905,0.014,0.10,0.29
3.500,0.016,0.015531,0.015531,0.013,0.10,0.27
3.600,0.016,0.016532,0.016532,0.014,0.11,0.30
3.700,0.017,0.016378,0.016378,0.013,0.10,0.27
3.800,0.018,0.016893,0.016893,0.014,0.11,0.29
3.900,0.018,0.017711,0.017711,0.014,0.11,0.30
4.000,0.018,0.017942,0.017942,0.012,0.11,0.26
4.100,0.019,0.018052,0.018052,0.014,0.12,0.29
4.200,0.020,0.019109,0.019109,0.013,0.12,0.28
4.300,0.020,0.019065,0.019065,0.014,0.12,0.30
4.400,0.020,0.019788,0.019788,0.015,0.13,0.32
4.500,0.021,0.020247,0.020247,0.016,0.13,0.35
4.600,0.022,0.020736,0.020736,0.014,0.13,0.30
4.700,0.022,0.021746,0.021746,0.014,0.14,0.29
4.800,0.022,0.021580,0.021580,0.015,0.14,0.31
4.900,0.023,0.022588,0.022588,0.014,0.14,0.29
5.000,0.024,0.022854,0.022854,0.014,0.15,0.30
5.100,0.024,0.023094,0.023094,0.014,0.15,0.31
5.200,0.024,0.023482,0.023482,0.015,0.15,0.32
5.300,0.025,0.024513,0.024513,0.015,0.16,0.33
5.400,0.026,0.024413,0.024413,0.015,0.16,0.32
5.500,0.026,0.024839,0.024839,0.015,0.16,0.33
5.600,0.026,0.025539,0.025539,0.015,0.16,0.33
5.700,0.027,0.026496,0.026496,0.015,0.17,0.32
5.800,0.028,0.026490,0.026490,0.016,0.17,0.33
5.900,0.028,0.027515,0.027515,0.015,0.18,0.31
6.000,0.028,0.027846,0.027846,0.016,0.18,0.34
6.100,0.029,0.028540,0.028540,0.015,0.18,0.33
6.200,0.030,0.028667,0.028667,0.016,0.18,0.35
6.300,0.030,0.028783,0.028783,0.015,0.18,0.31
6.400,0.030,0.029674,0.029674,0.016,0.19,0.35
6.500,0.031,0.030489,0.030489,0.016,0.20,0.35
6.600,0.032,0.030821,0.030821,0.016,0.20,0.35
6.700,0.032,0.030848,0.030848,0.016,0.20,0.34
6.800,0.032,0.031677,0.031677,0.016,0.20,0.34
6.900,0.033,0.032089,0.032089,0.016,0.21,0.35
7.000,0.034,0.032859,0.032859,0.016,0.21,0.33
7.100,0.034,0.033037,0.033037,0.018,0.21,0.39
7.200,0.035,0.033473,0.033473,0.018,0.21,0.38
7.300,0.035,0.034323,0.034323,0.018,0.22,0.37
7.400,0.036,0.034886,0.034886,0.017,0.22,0.37
7.500,0.036,0.035123,0.035123,0.018,0.22,0.39
7.600,0.036,0.035807,0.035807,0.019,0.23,0.40
7.700,0.037,0.036326,0.036326,0.018,0.23,0.38
7.800,0.038,0.036533,0.036533,0.019,0.23,0.39
7.900,0.038,0.037259,0.037259,0.019,0.24,0.41
8.000,0.038,0.037742,0.037742,0.020,0.24,0.43
8.100,0.039,0.038186,0.038186,0.020,0.24,0.42
8.200,0.040,0.038912,0.038912,0.020,0.25,0.44
8.300,0.040,0.039179,0.039179,0.021,0.25,0.45
8.400,0.040,0.039925,0.039925,0.021,0.26,0.44
8.500,0.041,0.040257,0.040257,0.018,0.26,0.39
8.600,0.042,0.040865,0.040865,0.021,0.26,0.44
8.700,0.042,0.041540,0.041540,0.020,0.27,0.42
8.800,0.043,0.041931,0.041931,0.021,0.27,0.45
8.900,0.043,0.042174,0.042174,0.020,0.27,0.42
9.000,0.044,0.042891,0.042891,0.020,0.27,0.43
9.100,0.044,0.043457,0.043457,0.021,0.28,0.44
9.200,0.044,0.044227,0.044227,0.021,0.28,0.45
9.300,0.045,0.044322,0.044322,0.022,0.28,0.47
9.400,0.046,0.044847,0.044847,0.020,0.29,0.44
9.500,0.046,0.045229,0.045229,0.022,0.29,0.47
9.600,0.046,0.045875,0.045875,0.021,0.29,0.44
9.700,0.047,0.046586,0.046586,0.021,0.30,0.45
9.800,0.048,0.046926,0.046926,0.022,0.30,0.48
9.900,0.048,0.047477,0.047477,0.023,0.30,0.49
10.000,0.048,0.047916,0.047916,0.023,0.31,0.49
10.100,0.049,0.048354,0.048354,0.024,0.31,0.51
10.200,0.050,0.049030,0.049030,0.024,0.31,0.51
10.300,0.050,0.049468,0.049468,0.023,0.32,0.50
10.400,0.051,0.049868,0.049868,0.025,0.32,0.53
10.500,0.051,0.050535,0.050535,0.024,0.32,0.51
10.600,0.052,0.051139,0.051139,0.026,0.33,0.55
10.700,0.052,0.051317,0.051317,0.025,0.33,0.53
10.800,0.052,0.051735,0.051735,0.026,0.33,0.56
10.900,0.053,0.052318,0.052318,0.027,0.33,0.57
11.000,0.054,0.053015,0.053015,0.027,0.34,0.58
11.100,0.054,0.053388,0.053388,0.025,0.34,0.54
11.200,0.054,0.053826,0.053826,0.027,0.34,0.57
11.300,0.055,0.054218,0.054218,0.028,0.35,0.59
11.400,0.056,0.054911,0.054911,0.028,0.35,0.61
11.500,0.056,0.055420,0.055420,0.027,0.35,0.58
11.600,0.056,0.055773,0.055773,0.028,0.36,0.60
11.700,0.057,0.056176,0.056176,0.028,0.36,0.59
11.800,0.058,0.056917,0.056917,0.027,0.36,0.58
11.900,0.058,0.057554,0.057554,0.029,0.37,0.63
12.000,0.058,0.057749,0.057749,0.029,0.37,0.61
12.100,0.059,0.057998,0.057998,0.028,0.37,0.59
12.200,0.060,0.058602,0.058602,0.028,0.37,0.59
12.300,0.060,0.059068,0.059068,0.028,0.38,0.59
12.400,0.060,0.059841,0.059841,0.029,0.38,0.61
12.500,0.061,0.060161,0.060161,0.030,0.38,0.63
12.600,0.062,0.060673,0.060673,0.030,0.39,0.64
12.700,0.062,0.060839,0.060839,0.029,0.39,0.62
12.800,0.062,0.061713,0.061713,0.030,0.39,0.64
12.900,0.063,0.062279,0.062279,0.030,0.40,0.64
13.000,0.064,0.062703,0.062703,0.031,0.40,0.65
13.100,0.064,0.063186,0.063186,0.031,0.40,0.66
13.200,0.064,0.063592,0.063592,0.030,0.41,0.65
13.300,0.065,0.064169,0.064169,0.031,0.41,0.66
13.400,0.066,0.064667,0.064667,0.031,0.41,0.66
13.500,0.066,0.065026,0.065026,0.031,0.42,0.67
13.600,0.066,0.065532,0.065532,0.032,0.42,0.69
13.700,0.068,0.066199,0.066199,0.032,0.42,0.68
13.800,0.068,0.066640,0.066640,0.031,0.43,0.67
13.900,0.068,0.067280,0.067280,0.033,0.43,0.71
14.000,0.068,0.067425,0.067425,0.033,0.43,0.71
14.100,0.069,0.068059,0.068059,0.032,0.44,0.69
14.200,0.070,0.068673,0.068673,0.034,0.44,0.72
14.300,0.070,0.069058,0.069058,0.034,0.44,0.72
14.400,0.071,0.069627,0.069627,0.033,0.45,0.71
14.500,0.071,0.070074,0.070074,0.035,0.45,0.75
14.600,0.072,0.070693,0.070693,0.033,0.45,0.70
14.700,0.072,0.071120,0.071120,0.035,0.46,0.74
14.800,0.072,0.071570,0.071570,0.035,0.46,0.75
14.900,0.073,0.072145,0.072145,0.035,0.46,0.75
15.000,0.074,0.072693,0.072693,0.036,0.47,0.76
