"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.001635,-0.001635,0.004,-0.01,0.07
0.400,0.000,-0.001078,-0.001078,0.006,-0.01,0.11
0.500,0.001,-0.000661,-0.000661,0.006,0.00,0.12
0.600,0.002,-0.000172,-0.000172,0.006,0.00,0.11
0.700,0.002,0.000560,0.000560,0.007,0.00,0.13
0.800,0.002,0.000904,0.000904,0.008,0.01,0.14
0.900,0.003,0.001345,0.001345,0.009,0.01,0.17
1.000,0.004,0.001751,0.001751,0.009,0.01,0.16
1.100,0.004,0.002281,0.002281,0.009,0.02,0.17
1.200,0.005,0.002741,0.002741,0.008,0.02,0.14
1.300,0.005,0.003256,0.003256,0.007,0.02,0.14
1.400,0.006,0.003724,0.003724,0.007,0.03,0.13
1.500,0.006,0.004115,0.004115,0.009,0.03,0.17
1.600,0.006,0.004773,0.004773,0.010,0.03,0.18
1.700,0.007,0.005398,0.005398,0.010,0.04,0.18
1.800,0.008,0.005650,0.005650,0.008,0.04,0.15
1.900,0.008,0.006248,0.006248,0.010,0.04,0.18
2.000,0.008,0.006426,0.006426,0.010,0.04,0.19
2.100,0.009,0.007102,0.007102,0.010,0.05,0.18
2.200,0.010,0.007638,0.007638,0.010,0.05,0.18
2.300,0.010,0.008100,0.008100,0.010,0.06,0.19
2.400,0.010,0.008456,0.008456,0.012,0.06,0.21
2.500,0.011,0.008956,0.008956,0.011,0.06,0.19
2.600,0.012,0.009377,0.009377,0.012,0.06,0.21
2.700,0.012,0.009801,0.009801,0.010,0.07,0.19
2.800,0.012,0.010532,0.010532,0.012,0.07,0.22
2.900,0.013,0.011223,0.011223,0.012,0.08,0.22
3.000,0.014,0.011252,0.011252,0.013,0.08,0.23
3.100,0.014,0.011863,0.011863,0.013,0.08,0.23
3.200,0.014,0.012479,0.012479,0.013,0.09,0.23
3.300,0.015,0.012882,0.012882,0.012,0.09,0.23
3.400,0.016,0.013314,0.013314,0.014,0.09,0.26
3.500,0.016,0.014153,0.014153,0.014,0.10,0.25
3.600,0.016,0.014043,0.014043,0.014,0.10,0.24
3.700,0.017,0.014606,0.014606,0.015,0.10,0.27
3.800,0.018,0.014979,0.014979,0.015,0.10,0.26
3.900,0.018,0.015993,0.015993,0.016,0.11,0.29
4.000,0.018,0.016710,0.016710,0.014,0.11,0.25
4.100,0.019,0.016719,0.016719,0.015,0.11,0.27
4.200,0.020,0.016953,0.016953,0.014,0.12,0.26
4.300,0.020,0.017862,0.017862,0.014,0.12,0.26
4.400,0.021,0.019015,0.019015,0.016,0.13,0.29
4.500,0.021,0.018917,0.018917,0.016,0.13,0.29
4.600,0.022,0.019743,0.019743,0.015,0.14,0.27
4.700,0.022,0.019862,0.019862,0.015,0.14,0.27
4.800,0.022,0.020431,0.020431,0.015,0.14,0.28
4.900,0.023,0.021284,0.021284,0.016,0.15,0.29
5.000,0.024,0.021157,0.021157,0.015,0.14,0.28
5.100,0.024,0.022182,0.022182,0.015,0.15,0.27
5.200,0.024,0.022842,0.022842,0.015,0.16,0.27
5.300,0.026,0.023488,0.023488,0.014,0.16,0.26
5.400,0.026,0.023118,0.023118,0.013,0.16,0.24
5.500,0.026,0.023755,0.023755,0.014,0.16,0.24
5.600,0.026,0.024487,0.024487,0.015,0.17,0.26
5.700,0.027,0.025482,0.025482,0.016,0.17,0.29
5.800,0.028,0.025761,0.025761,0.016,0.18,0.30
5.900,0.028,0.025965,0.025965,0.015,0.18,0.28
6.000,0.028,0.026291,0.026291,0.015,0.18,0.28
6.100,0.029,0.026907,0.026907,0.017,0.18,0.31
6.200,0.030,0.027906,0.027906,0.017,0.19,0.30
6.300,0.030,0.028291,0.028291,0.016,0.19,0.30
6.400,0.030,0.028519,0.028519,0.015,0.20,0.28
6.500,0.031,0.028946,0.028946,0.017,0.20,0.31
6.600,0.032,0.029360,0.029360,0.016,0.20,0.29
6.700,0.032,0.030246,0.030246,0.017,0.21,0.31
6.800,0.032,0.030865,0.030865,0.017,0.21,0.31
6.900,0.033,0.031162,0.031162,0.017,0.21,0.31
7.000,0.034,0.031624,0.031624,0.017,0.22,0.31
7.100,0.034,0.032068,0.032068,0.017,0.22,0.30
7.200,0.035,0.032756,0.032756,0.019,0.22,0.34
7.300,0.035,0.033227,0.033227,0.019,0.23,0.34
7.400,0.036,0.033476,0.033476,0.018,0.23,0.32
7.500,0.036,0.034246,0.034246,0.018,0.23,0.32
7.600,0.036,0.034601,0.034601,0.018,0.24,0.33
7.700,0.037,0.035221,0.035221,0.018,0.24,0.33
7.800,0.038,0.035751,0.035751,0.019,0.24,0.35
7.900,0.038,0.036133,0.036133,0.020,0.25,0.37
8.000,0.038,0.036847,0.036847,0.019,0.25,0.35
8.100,0.039,0.036966,0.036966,0.019,0.25,0.35
8.200,0.040,0.037552,0.037552,0.019,0.26,0.35
8.300,0.040,0.038201,0.038201,0.021,0.26,0.38
8.400,0.041,0.038933,0.038933,0.021,0.27,0.38
8.500,0.041,0.039318,0.039318,0.019,0.27,0.35
8.600,0.042,0.039472,0.039472,0.021,0.27,0.37
8.700,0.042,0.039934,0.039934,0.020,0.27,0.37
8.800,0.043,0.040714,0.040714,0.021,0.28,0.39
8.900,0.044,0.041336,0.041336,0.021,0.28,0.38
9.000,0.044,0.041836,0.041836,0.021,0.29,0.38
9.100,0.044,0.042079,0.042079,0.020,0.29,0.37
9.200,0.044,0.042592,0.042592,0.020,0.29,0.36
9.300,0.045,0.043087,0.043087,0.021,0.29,0.38
9.400,0.046,0.043555,0.043555,0.021,0.30,0.38
9.500,0.046,0.044183,0.044183,0.021,0.30,0.38
9.600,0.046,0.044654,0.044654,0.021,0.31,0.38
9.700,0.047,0.045015,0.045015,0.021,0.31,0.38
9.800,0.048,0.045685,0.045685,0.022,0.31,0.40
9.900,0.048,0.046112,0.046112,0.023,0.32,0.42
10.000,0.048,0.046672,0.046672,0.022,0.32,0.41
10.100,0.049,0.047066,0.047066,0.024,0.32,0.44
10.200,0.050,0.047572,0.047572,0.023,0.33,0.42
10.300,0.050,0.048236,0.048236,0.024,0.33,0.43
10.400,0.051,0.048627,0.048627,0.023,0.33,0.42
10.500,0.051,0.049166,0.049166,0.023,0.34,0.41
10.600,0.052,0.049877,0.049877,0.023,0.34,0.42
10.700,0.052,0.050248,0.050248,0.024,0.34,0.43
10.800,0.052,0.050733,0.050733,0.023,0.35,0.42
10.900,0.053,0.051133,0.051133,0.024,0.35,0.44
11.000,0.054,0.051693,0.051693,0.026,0.35,0.46
11.100,0.054,0.052591,0.052591,0.025,0.36,0.45
11.200,0.054,0.052920,0.052920,0.024,0.36,0.43
11.300,0.055,0.053296,0.053296,0.025,0.36,0.46
11.400,0.056,0.053672,0.053672,0.025,0.37,0.46
11.500,0.056,0.054339,0.054339,0.026,0.37,0.47
11.600,0.057,0.054875,0.054875,0.026,0.38,0.48
11.700,0.057,0.055480,0.055480,0.026,0.38,0.46
11.800,0.058,0.055948,0.055948,0.026,0.38,0.47
11.900,0.058,0.056244,0.056244,0.026,0.38,0.47
12.000,0.059,0.056985,0.056985,0.027,0.39,0.49
12.100,0.059,0.057586,0.057586,0.027,0.39,0.49
12.200,0.060,0.058010,0.058010,0.028,0.40,0.50
12.300,0.060,0.058697,0.058697,0.028,0.40,0.51
12.400,0.060,0.059062,0.059062,0.028,0.40,0.50
12.500,0.061,0.059740,0.059740,0.029,0.41,0.52
12.600,0.062,0.060146,0.060146,0.029,0.41,0.53
12.700,0.062,0.060792,0.060792,0.030,0.42,0.55
12.800,0.062,0.061316,0.061316,0.029,0.42,0.52
12.900,0.063,0.061598,0.061598,0.029,0.42,0.53
13.000,0.064,0.061974,0.061974,0.029,0.42,0.53
13.100,0.064,0.062726,0.062726,0.030,0.43,0.55
13.200,0.064,0.063583,0.063583,0.030,0.43,0.54
13.300,0.065,0.063944,0.063944,0.030,0.44,0.54
13.400,0.066,0.064226,0.064226,0.030,0.44,0.54
13.500,0.066,0.064839,0.064839,0.030,0.44,0.54
13.600,0.066,0.065425,0.065425,0.031,0.45,0.57
13.700,0.067,0.066145,0.066145,0.032,0.45,0.57
13.800,0.068,0.066442,0.066442,0.031,0.45,0.56
13.900,0.068,0.066922,0.066922,0.032,0.46,0.57
14.000,0.068,0.067499,0.067499,0.032,0.46,0.58
14.100,0.069,0.068184,0.068184,0.032,0.47,0.58
14.200,0.070,0.068690,0.068690,0.032,0.47,0.58
14.300,0.070,0.068865,0.068865,0.032,0.47,0.59
14.400,0.071,0.069443,0.069443,0.033,0.47,0.59
14.500,0.071,0.070101,0.070101,0.032,0.48,0.59
14.600,0.072,0.070824,0.070824,0.034,0.48,0.61
14.700,0.072,0.071312,0.071312,0.034,0.49,0.61
14.800,0.072,0.071475,0.071475,0.035,0.49,0.64
14.900,0.073,0.072100,0.072100,0.035,0.49,0.63
15.000,0.074,0.072794,0.072794,0.036,0.50,0.65
15.100,0.074,0.073475,0.073475,0.036,0.50,0.65
15.200,0.074,0.073763,0.073763,0.036,0.50,0.66
15.300,0.075,0.074237,0.074237,0.035,0.51,0.64
15.400,0.076,0.074654,0.074654,0.035,0.51,0.64
15.500,0.076,0.075605,0.075605,0.037,0.52,0.66
15.600,0.077,0.076201,0.076201,0.037,0.52,0.66
15.700,0.077,0.076305,0.076305,0.037,0.52,0.68
15.800,0.078,0.076950,0.076950,0.037,0.53,0.67
15.900,0.078,0.077570,0.077570,0.036,0.53,0.66
16.000,0.078,0.078171,0.078171,0.039,0.53,0.70
16.100,0.079,0.078707,0.078707,0.038,0.54,0.69
16.200,0.080,0.079001,0.079001,0.039,0.54,0.70
16.300,0.080,0.079569,0.079569,0.038,0.54,0.70
16.400,0.080,0.079961,0.079961,0.040,0.55,0.72
16.500,0.081,0.080734,0.080734,0.040,0.55,0.72
16.600,0.082,0.080977,0.080977,0.040,0.55,0.73
16.700,0.082,0.081682,0.081682,0.040,0.56,0.73
16.800,0.082,0.082197,0.082197,0.042,0.56,0.75
16.900,0.083,0.082760,0.082760,0.042,0.57,0.75
17.000,0.084,0.083267,0.083267,0.041,0.57,0.74
17.100,0.084,0.083617,0.083617,0.041,0.57,0.75
17.200,0.084,0.084129,0.084129,0.042,0.58,0.76
17.300,0.085,0.085030,0.085030,0.042,0.58,0.77
17.400,0.086,0.085554,0.085554,0.043,0.59,0.77
17.500,0.086,0.085990,0.085990,0.043,0.59,0.78
17.600,0.087,0.086292,0.086292,0.043,0.59,0.79
17.700,0.087,0.086819,0.086819,0.044,0.59,0.79
17.800,0.088,0.087441,0.087441,0.046,0.60,0.83
17.900,0.088,0.088238,0.088238,0.045,0.60,0.82
18.000,0.088,0.088609,0.088609,0.046,0.61,0.83
18.100,0.089,0.089213,0.089213,0.046,0.61,0.82
18.200,0.090,0.089391,0.089391,0.045,0.61,0.82
18.300,0.090,0.090173,0.090173,0.045,0.62,0.82
18.400,0.090,0.090487,0.090487,0.046,0.62,0.83
18.500,0.091,0.091204,0.091204,0.047,0.62,0.85
18.600,0.092,0.091764,0.091764,0.051,0.63,0.92
18.700,0.092,0.092359,0.092359,0.050,0.63,0.90
18.800,0.092,0.092943,0.092943,0.049,0.64,0.89
18.900,0.093,0.093429,0.093429,0.050,0.64,0.91
