"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.350,0.001,-0.001185,-0.001185,0.010,-0.01,0.19
0.550,0.002,0.000124,0.000124,0.009,0.00,0.17
0.750,0.003,0.001304,0.001304,0.010,0.01,0.19
0.950,0.004,0.002195,0.002195,0.011,0.02,0.21
1.150,0.005,0.002909,0.002909,0.011,0.02,0.20
1.350,0.006,0.003961,0.003961,0.012,0.03,0.22
1.550,0.007,0.005445,0.005445,0.013,0.04,0.24
1.750,0.008,0.005928,0.005928,0.012,0.04,0.22
1.950,0.009,0.007279,0.007279,0.012,0.05,0.22
2.150,0.010,0.008109,0.008109,0.012,0.06,0.22
2.350,0.011,0.008814,0.008814,0.013,0.06,0.24
2.550,0.012,0.009875,0.009875,0.012,0.07,0.23
2.750,0.013,0.010894,0.010894,0.012,0.08,0.23
2.950,0.014,0.011806,0.011806,0.012,0.08,0.23
3.150,0.015,0.012820,0.012820,0.013,0.09,0.24
3.350,0.016,0.013691,0.013691,0.013,0.10,0.25
3.550,0.017,0.014799,0.014799,0.013,0.10,0.25
3.750,0.018,0.015782,0.015782,0.013,0.11,0.25
3.950,0.019,0.016609,0.016609,0.012,0.12,0.22
4.150,0.020,0.017927,0.017927,0.014,0.13,0.26
4.350,0.021,0.018615,0.018615,0.013,0.13,0.24
4.550,0.022,0.019604,0.019604,0.013,0.14,0.25
4.750,0.023,0.020532,0.020532,0.014,0.14,0.25
4.950,0.024,0.021589,0.021589,0.013,0.15,0.25
5.150,0.025,0.023097,0.023097,0.014,0.16,0.27
5.350,0.026,0.023364,0.023364,0.015,0.16,0.28
5.550,0.027,0.024905,0.024905,0.016,0.17,0.30
5.750,0.028,0.025577,0.025577,0.014,0.18,0.26
5.950,0.029,0.026670,0.026670,0.016,0.19,0.29
6.150,0.030,0.027568,0.027568,0.016,0.19,0.29
6.350,0.031,0.028709,0.028709,0.015,0.20,0.29
6.550,0.032,0.029707,0.029707,0.016,0.21,0.30
6.750,0.033,0.030605,0.030605,0.015,0.21,0.28
6.950,0.034,0.031642,0.031642,0.016,0.22,0.30
7.150,0.035,0.032513,0.032513,0.016,0.23,0.29
7.350,0.036,0.033582,0.033582,0.015,0.23,0.28
7.550,0.037,0.034335,0.034335,0.016,0.24,0.30
7.750,0.038,0.035564,0.035564,0.016,0.25,0.30
7.950,0.039,0.036957,0.036957,0.015,0.26,0.29
8.150,0.040,0.037271,0.037271,0.016,0.26,0.29
8.350,0.041,0.038566,0.038566,0.016,0.27,0.30
8.550,0.042,0.039608,0.039608,0.016,0.28,0.31
8.750,0.043,0.040432,0.040432,0.016,0.28,0.29
8.950,0.044,0.041730,0.041730,0.017,0.29,0.33
9.150,0.045,0.042784,0.042784,0.017,0.30,0.31
9.350,0.046,0.043424,0.043424,0.017,0.30,0.32
9.550,0.047,0.044189,0.044189,0.018,0.31,0.33
9.750,0.048,0.045860,0.045860,0.018,0.32,0.34
9.950,0.049,0.046141,0.046141,0.018,0.32,0.34
10.150,0.050,0.047057,0.047057,0.018,0.33,0.34
10.350,0.051,0.048363,0.048363,0.018,0.34,0.33
10.550,0.052,0.049569,0.049569,0.017,0.35,0.31
10.750,0.053,0.050022,0.050022,0.018,0.35,0.34
10.950,0.054,0.051501,0.051501,0.018,0.36,0.34
11.150,0.055,0.052093,0.052093,0.016,0.36,0.30
11.350,0.056,0.053104,0.053104,0.015,0.37,0.28
11.550,0.057,0.054389,0.054389,0.016,0.38,0.31
11.750,0.058,0.055243,0.055243,0.017,0.39,0.31
11.950,0.059,0.056238,0.056238,0.016,0.39,0.31
12.150,0.060,0.057088,0.057088,0.017,0.40,0.33
12.350,0.061,0.058149,0.058149,0.016,0.41,0.30
12.550,0.062,0.059011,0.059011,0.017,0.41,0.32
12.750,0.063,0.060137,0.060137,0.018,0.42,0.33
12.950,0.064,0.061281,0.061281,0.017,0.43,0.32
13.150,0.065,0.061974,0.061974,0.018,0.43,0.34
13.350,0.066,0.063094,0.063094,0.017,0.44,0.31
13.550,0.067,0.064143,0.064143,0.017,0.45,0.32
13.750,0.068,0.064910,0.064910,0.018,0.45,0.34
13.950,0.069,0.066080,0.066080,0.020,0.46,0.37
14.150,0.070,0.067224,0.067224,0.020,0.47,0.38
14.350,0.071,0.067970,0.067970,0.019,0.48,0.35
14.550,0.072,0.069398,0.069398,0.019,0.49,0.36
14.750,0.073,0.070095,0.070095,0.020,0.49,0.37
14.950,0.074,0.071372,0.071372,0.019,0.50,0.35
15.150,0.075,0.072213,0.072213,0.021,0.50,0.38
15.350,0.076,0.072972,0.072972,0.019,0.51,0.36
15.550,0.077,0.074263,0.074263,0.020,0.52,0.38
15.750,0.078,0.075054,0.075054,0.020,0.52,0.37
15.950,0.079,0.076112,0.076112,0.020,0.53,0.37
16.150,0.080,0.077182,0.077182,0.021,0.54,0.39
16.350,0.081,0.078287,0.078287,0.019,0.55,0.36
16.550,0.082,0.079359,0.079359,0.021,0.55,0.39
16.750,0.083,0.080141,0.080141,0.022,0.56,0.41
16.950,0.084,0.081285,0.081285,0.024,0.57,0.45
17.150,0.085,0.082088,0.082088,0.022,0.57,0.41
17.350,0.086,0.083297,0.083297,0.021,0.58,0.40
17.550,0.087,0.084209,0.084209,0.021,0.59,0.40
17.750,0.088,0.085276,0.085276,0.023,0.60,0.42
17.950,0.089,0.086387,0.086387,0.023,0.60,0.43
18.150,0.090,0.087136,0.087136,0.023,0.61,0.43
18.350,0.091,0.088004,0.088004,0.023,0.62,0.43
18.550,0.092,0.089133,0.089133,0.024,0.62,0.45
18.750,0.093,0.090057,0.090057,0.025,0.63,0.46
18.950,0.094,0.091189,0.091189,0.025,0.64,0.47
19.150,0.095,0.091885,0.091885,0.024,0.64,0.45
19.350,0.096,0.093068,0.093068,0.025,0.65,0.46
19.550,0.097,0.093740,0.093740,0.026,0.66,0.48
19.750,0.098,0.094949,0.094949,0.025,0.66,0.47
19.950,0.099,0.095992,0.095992,0.025,0.67,0.48
20.150,0.100,0.096792,0.096792,0.025,0.68,0.47
20.350,0.101,0.097867,0.097867,0.026,0.68,0.49
20.550,0.102,0.098682,0.098682,0.026,0.69,0.50
20.750,0.103,0.099624,0.099624,0.026,0.70,0.49
20.950,0.104,0.100720,0.100720,0.027,0.70,0.51
21.150,0.105,0.101485,0.101485,0.027,0.71,0.50
21.350,0.106,0.102507,0.102507,0.028,0.72,0.52
21.550,0.107,0.103707,0.103707,0.028,0.73,0.53
21.750,0.108,0.104521,0.104521,0.028,0.73,0.53
21.950,0.109,0.105621,0.105621,0.029,0.74,0.53
22.150,0.110,0.106486,0.106486,0.029,0.74,0.55
22.350,0.111,0.107493,0.107493,0.030,0.75,0.56
22.550,0.112,0.108669,0.108669,0.030,0.76,0.56
22.750,0.113,0.109638,0.109638,0.031,0.77,0.58
22.950,0.114,0.110799,0.110799,0.032,0.77,0.60
23.150,0.115,0.111392,0.111392,0.032,0.78,0.60
23.350,0.116,0.112734,0.112734,0.032,0.79,0.60
23.550,0.117,0.113596,0.113596,0.034,0.79,0.63
23.750,0.118,0.114494,0.114494,0.033,0.80,0.63
23.950,0.120,0.115978,0.115978,0.035,0.81,0.65
24.150,0.120,0.116494,0.116494,0.034,0.81,0.64
24.350,0.122,0.117637,0.117637,0.035,0.82,0.65
24.550,0.122,0.118571,0.118571,0.035,0.83,0.66
24.750,0.123,0.119791,0.119791,0.035,0.84,0.66
24.950,0.124,0.120733,0.120733,0.036,0.84,0.67
25.150,0.125,0.121874,0.121874,0.036,0.85,0.68
25.350,0.126,0.122668,0.122668,0.038,0.86,0.71
25.550,0.127,0.123592,0.123592,0.038,0.86,0.72
25.750,0.128,0.124982,0.124982,0.038,0.87,0.71
25.950,0.129,0.125560,0.125560,0.039,0.88,0.73
26.150,0.130,0.126988,0.126988,0.040,0.89,0.75
26.350,0.131,0.127788,0.127788,0.040,0.89,0.75
26.550,0.132,0.128611,0.128611,0.042,0.90,0.78
26.750,0.133,0.129835,0.129835,0.042,0.91,0.79
26.950,0.134,0.130724,0.130724,0.042,0.91,0.78
27.150,0.135,0.131722,0.131722,0.042,0.92,0.79
27.350,0.136,0.132916,0.132916,0.043,0.93,0.80
27.550,0.137,0.133867,0.133867,0.045,0.94,0.84
27.750,0.138,0.134708,0.134708,0.046,0.94,0.86
27.950,0.140,0.136009,0.136009,0.045,0.95,0.84
28.150,0.140,0.136744,0.136744,0.045,0.96,0.85
28.350,0.142,0.137997,0.137997,0.046,0.97,0.87
28.550,0.142,0.139081,0.139081,0.048,0.97,0.90
28.750,0.143,0.139822,0.139822,0.048,0.98,0.90
28.950,0.144,0.141099,0.141099,0.051,0.99,0.95
29.150,0.145,0.141840,0.141840,0.050,0.99,0.94
29.350,0.146,0.143128,0.143128,0.051,1.00,0.96
29.550,0.147,0.143955,0.143955,0.052,1.01,0.98
29.750,0.148,0.145093,0.145093,0.053,1.01,0.99
29.950,0.149,0.145949,0.145949,0.054,1.02,1.02
30.150,0.150,0.146802,0.146802,0.053,1.03,1.00
30.350,0.151,0.147913,0.147913,0.056,1.03,1.04
30.550,0.152,0.148790,0.148790,0.057,1.04,1.06
30.750,0.153,0.150049,0.150049,0.058,1.05,1.08
