"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.350,0.001,-0.002779,-0.002779,0.004,-0.02,0.09
0.550,0.002,-0.001778,-0.001778,0.006,-0.01,0.12
0.750,0.003,-0.000590,-0.000590,0.008,0.00,0.16
0.950,0.004,0.000347,0.000347,0.007,0.00,0.15
1.150,0.005,0.001244,0.001244,0.007,0.01,0.14
1.350,0.006,0.002569,0.002569,0.008,0.02,0.16
1.550,0.007,0.003117,0.003117,0.008,0.02,0.15
1.750,0.008,0.004435,0.004435,0.007,0.03,0.15
1.950,0.009,0.005570,0.005570,0.009,0.04,0.18
2.150,0.010,0.006376,0.006376,0.009,0.04,0.17
2.350,0.011,0.007916,0.007916,0.010,0.05,0.20
2.550,0.012,0.008269,0.008269,0.010,0.05,0.20
2.750,0.013,0.009937,0.009937,0.012,0.06,0.24
2.950,0.014,0.010977,0.010977,0.009,0.07,0.17
3.150,0.015,0.011842,0.011842,0.010,0.08,0.21
3.350,0.016,0.012953,0.012953,0.010,0.08,0.20
3.550,0.017,0.013993,0.013993,0.009,0.09,0.18
3.750,0.018,0.014822,0.014822,0.010,0.10,0.20
3.950,0.019,0.016351,0.016351,0.010,0.11,0.20
4.150,0.020,0.017092,0.017092,0.010,0.11,0.19
4.350,0.021,0.018016,0.018016,0.010,0.12,0.19
4.550,0.022,0.019533,0.019533,0.010,0.13,0.21
4.750,0.023,0.020049,0.020049,0.012,0.13,0.23
4.950,0.024,0.021580,0.021580,0.012,0.14,0.24
5.150,0.025,0.022280,0.022280,0.011,0.14,0.23
5.350,0.026,0.023379,0.023379,0.012,0.15,0.23
5.550,0.027,0.024596,0.024596,0.011,0.16,0.23
5.750,0.028,0.025681,0.025681,0.012,0.17,0.25
5.950,0.029,0.026617,0.026617,0.011,0.17,0.22
6.150,0.030,0.027378,0.027378,0.011,0.18,0.23
6.350,0.031,0.028638,0.028638,0.012,0.18,0.24
6.550,0.032,0.029494,0.029494,0.011,0.19,0.23
6.750,0.033,0.030922,0.030922,0.012,0.20,0.24
6.950,0.034,0.031408,0.031408,0.012,0.20,0.24
7.150,0.035,0.032711,0.032711,0.013,0.21,0.25
7.350,0.036,0.033594,0.033594,0.012,0.22,0.24
7.550,0.037,0.034513,0.034513,0.012,0.22,0.24
7.750,0.038,0.035390,0.035390,0.011,0.23,0.22
7.950,0.039,0.036352,0.036352,0.012,0.23,0.23
8.150,0.040,0.037117,0.037117,0.012,0.24,0.24
8.350,0.041,0.038311,0.038311,0.013,0.25,0.26
8.550,0.042,0.039807,0.039807,0.013,0.26,0.26
8.750,0.043,0.039934,0.039934,0.013,0.26,0.25
8.950,0.044,0.041410,0.041410,0.013,0.27,0.25
9.150,0.045,0.042485,0.042485,0.013,0.27,0.25
9.350,0.046,0.043460,0.043460,0.013,0.28,0.26
9.550,0.047,0.044044,0.044044,0.012,0.28,0.24
9.750,0.048,0.045086,0.045086,0.013,0.29,0.27
9.950,0.049,0.046799,0.046799,0.014,0.30,0.27
10.150,0.050,0.047229,0.047229,0.014,0.30,0.28
10.350,0.051,0.047966,0.047966,0.013,0.31,0.25
10.550,0.052,0.049362,0.049362,0.014,0.32,0.28
10.750,0.053,0.050233,0.050233,0.014,0.32,0.27
10.950,0.054,0.051341,0.051341,0.013,0.33,0.26
11.150,0.055,0.051836,0.051836,0.015,0.33,0.29
11.350,0.056,0.052908,0.052908,0.014,0.34,0.28
11.550,0.057,0.053764,0.053764,0.014,0.35,0.28
11.750,0.058,0.054858,0.054858,0.015,0.35,0.30
11.950,0.059,0.055755,0.055755,0.015,0.36,0.30
12.150,0.060,0.056964,0.056964,0.016,0.37,0.31
12.350,0.061,0.057811,0.057811,0.015,0.37,0.30
12.550,0.062,0.059065,0.059065,0.017,0.38,0.33
12.750,0.063,0.059758,0.059758,0.016,0.39,0.32
12.950,0.064,0.060848,0.060848,0.017,0.39,0.33
13.150,0.065,0.061790,0.061790,0.017,0.40,0.34
13.350,0.066,0.062552,0.062552,0.016,0.40,0.31
13.550,0.067,0.063734,0.063734,0.017,0.41,0.34
13.750,0.068,0.064531,0.064531,0.016,0.42,0.33
13.950,0.069,0.065488,0.065488,0.017,0.42,0.35
14.150,0.070,0.066430,0.066430,0.016,0.43,0.32
14.350,0.071,0.067384,0.067384,0.017,0.43,0.34
14.550,0.072,0.068213,0.068213,0.019,0.44,0.37
14.750,0.073,0.069070,0.069070,0.019,0.45,0.37
14.950,0.074,0.070258,0.070258,0.019,0.45,0.38
15.150,0.075,0.071132,0.071132,0.019,0.46,0.37
15.350,0.076,0.072311,0.072311,0.019,0.47,0.38
15.550,0.077,0.073081,0.073081,0.019,0.47,0.37
15.750,0.078,0.074222,0.074222,0.019,0.48,0.39
15.950,0.079,0.075176,0.075176,0.019,0.49,0.38
16.150,0.080,0.075884,0.075884,0.019,0.49,0.38
16.350,0.081,0.077104,0.077104,0.019,0.50,0.39
16.550,0.082,0.077973,0.077973,0.021,0.50,0.41
16.750,0.083,0.078852,0.078852,0.020,0.51,0.40
16.950,0.084,0.080215,0.080215,0.021,0.52,0.42
17.150,0.085,0.080903,0.080903,0.021,0.52,0.41
17.350,0.086,0.082061,0.082061,0.021,0.53,0.43
17.550,0.087,0.083172,0.083172,0.021,0.54,0.43
17.750,0.088,0.083862,0.083862,0.022,0.54,0.45
17.950,0.089,0.085157,0.085157,0.022,0.55,0.44
18.150,0.090,0.086099,0.086099,0.023,0.56,0.47
18.350,0.091,0.086873,0.086873,0.023,0.56,0.45
18.550,0.092,0.088004,0.088004,0.022,0.57,0.43
18.750,0.093,0.089044,0.089044,0.023,0.57,0.46
18.950,0.094,0.089924,0.089924,0.022,0.58,0.45
19.150,0.095,0.090875,0.090875,0.022,0.59,0.44
19.350,0.096,0.092034,0.092034,0.023,0.59,0.46
19.550,0.097,0.092902,0.092902,0.024,0.60,0.48
19.750,0.098,0.093509,0.093509,0.024,0.60,0.47
19.950,0.099,0.095029,0.095029,0.025,0.61,0.50
20.150,0.100,0.095598,0.095598,0.025,0.62,0.50
20.350,0.101,0.096768,0.096768,0.025,0.62,0.51
20.550,0.102,0.097879,0.097879,0.026,0.63,0.52
20.750,0.103,0.098714,0.098714,0.026,0.64,0.51
20.950,0.104,0.099852,0.099852,0.028,0.64,0.55
21.150,0.105,0.100779,0.100779,0.027,0.65,0.55
21.350,0.106,0.101891,0.101891,0.027,0.66,0.53
21.550,0.107,0.102655,0.102655,0.028,0.66,0.56
21.750,0.108,0.103564,0.103564,0.029,0.67,0.58
21.950,0.109,0.104773,0.104773,0.028,0.68,0.56
22.150,0.110,0.105487,0.105487,0.030,0.68,0.60
22.350,0.111,0.106548,0.106548,0.029,0.69,0.57
22.550,0.112,0.107454,0.107454,0.030,0.69,0.60
22.750,0.113,0.108524,0.108524,0.031,0.70,0.63
22.950,0.114,0.109573,0.109573,0.031,0.71,0.62
23.150,0.115,0.110518,0.110518,0.031,0.71,0.62
23.350,0.116,0.111386,0.111386,0.031,0.72,0.62
23.550,0.117,0.112423,0.112423,0.031,0.73,0.63
23.750,0.118,0.113478,0.113478,0.033,0.73,0.66
23.950,0.119,0.114364,0.114364,0.033,0.74,0.65
24.150,0.120,0.115350,0.115350,0.034,0.74,0.68
24.350,0.121,0.116177,0.116177,0.033,0.75,0.66
24.550,0.122,0.117279,0.117279,0.035,0.76,0.69
24.750,0.123,0.118171,0.118171,0.036,0.76,0.71
24.950,0.124,0.118917,0.118917,0.036,0.77,0.72
25.150,0.125,0.120313,0.120313,0.036,0.78,0.72
25.350,0.126,0.120846,0.120846,0.037,0.78,0.73
25.550,0.127,0.121791,0.121791,0.037,0.79,0.74
25.750,0.128,0.122923,0.122923,0.037,0.79,0.74
25.950,0.129,0.123672,0.123672,0.037,0.80,0.74
26.150,0.130,0.124801,0.124801,0.038,0.81,0.75
26.350,0.131,0.125885,0.125885,0.039,0.81,0.77
26.550,0.132,0.126635,0.126635,0.040,0.82,0.79
26.750,0.132,0.127663,0.127663,0.039,0.82,0.78
26.950,0.134,0.128881,0.128881,0.040,0.83,0.79
27.150,0.134,0.129627,0.129627,0.040,0.84,0.80
27.350,0.136,0.131135,0.131135,0.043,0.85,0.85
27.550,0.137,0.131589,0.131589,0.043,0.85,0.85
27.750,0.138,0.132777,0.132777,0.044,0.86,0.87
27.950,0.139,0.133618,0.133618,0.045,0.86,0.89
28.150,0.140,0.134608,0.134608,0.044,0.87,0.88
28.350,0.141,0.135689,0.135689,0.044,0.88,0.88
28.550,0.142,0.136628,0.136628,0.044,0.88,0.88
28.750,0.143,0.137630,0.137630,0.047,0.89,0.94
28.950,0.144,0.138542,0.138542,0.046,0.89,0.91
29.150,0.145,0.139730,0.139730,0.046,0.90,0.91
29.350,0.146,0.140512,0.140512,0.047,0.91,0.94
29.550,0.146,0.141369,0.141369,0.048,0.91,0.96
29.750,0.148,0.142500,0.142500,0.048,0.92,0.96
29.950,0.149,0.143472,0.143472,0.049,0.93,0.98
30.150,0.150,0.144462,0.144462,0.049,0.93,0.97
30.350,0.151,0.145469,0.145469,0.052,0.94,1.03
30.550,0.152,0.146417,0.146417,0.052,0.94,1.03
30.750,0.153,0.147347,0.147347,0.053,0.95,1.05
