"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.002628,-0.002628,0.006,-0.02,0.13
0.400,0.000,-0.002219,-0.002219,0.006,-0.01,0.12
0.500,0.001,-0.001496,-0.001496,0.007,-0.01,0.14
0.600,0.002,-0.001031,-0.001031,0.007,-0.01,0.15
0.700,0.002,-0.000427,-0.000427,0.007,0.00,0.15
0.800,0.002,-0.000044,-0.000044,0.007,0.00,0.15
0.900,0.003,0.000199,0.000199,0.007,0.00,0.13
1.000,0.004,0.001001,0.001001,0.009,0.01,0.17
1.100,0.004,0.001378,0.001378,0.008,0.01,0.17
1.200,0.005,0.001991,0.001991,0.008,0.01,0.16
1.300,0.005,0.002341,0.002341,0.009,0.02,0.17
1.400,0.006,0.002788,0.002788,0.009,0.02,0.18
1.500,0.006,0.003493,0.003493,0.008,0.02,0.16
1.600,0.006,0.003878,0.003878,0.008,0.03,0.17
1.700,0.007,0.004382,0.004382,0.009,0.03,0.18
1.800,0.008,0.004681,0.004681,0.009,0.03,0.19
1.900,0.008,0.005324,0.005324,0.009,0.03,0.18
2.000,0.008,0.005647,0.005647,0.009,0.04,0.19
2.100,0.009,0.006432,0.006432,0.009,0.04,0.19
2.200,0.010,0.006702,0.006702,0.009,0.04,0.17
2.300,0.010,0.007205,0.007205,0.010,0.05,0.19
2.400,0.010,0.007475,0.007475,0.010,0.05,0.20
2.500,0.011,0.008171,0.008171,0.010,0.05,0.21
2.600,0.012,0.008613,0.008613,0.010,0.06,0.21
2.700,0.012,0.009024,0.009024,0.010,0.06,0.20
2.800,0.013,0.009418,0.009418,0.010,0.06,0.20
2.900,0.013,0.009727,0.009727,0.010,0.06,0.21
3.000,0.014,0.010153,0.010153,0.010,0.07,0.21
3.100,0.014,0.010766,0.010766,0.010,0.07,0.21
3.200,0.015,0.011640,0.011640,0.010,0.08,0.21
3.300,0.015,0.011990,0.011990,0.010,0.08,0.20
3.400,0.016,0.012197,0.012197,0.011,0.08,0.23
3.500,0.016,0.012630,0.012630,0.012,0.08,0.25
3.600,0.016,0.013308,0.013308,0.012,0.09,0.25
3.700,0.018,0.013812,0.013812,0.011,0.09,0.23
3.800,0.018,0.014005,0.014005,0.011,0.09,0.22
3.900,0.018,0.014156,0.014156,0.012,0.09,0.24
4.000,0.018,0.014659,0.014659,0.012,0.10,0.24
4.100,0.020,0.015403,0.015403,0.012,0.10,0.25
4.200,0.020,0.015892,0.015892,0.011,0.10,0.22
4.300,0.020,0.016413,0.016413,0.012,0.11,0.24
4.400,0.020,0.016375,0.016375,0.012,0.11,0.24
4.500,0.021,0.017027,0.017027,0.013,0.11,0.26
4.600,0.022,0.017521,0.017521,0.012,0.11,0.24
4.700,0.022,0.018058,0.018058,0.011,0.12,0.23
4.800,0.022,0.018736,0.018736,0.012,0.12,0.24
4.900,0.023,0.018843,0.018843,0.012,0.12,0.25
5.000,0.024,0.019758,0.019758,0.014,0.13,0.28
5.100,0.024,0.020129,0.020129,0.012,0.13,0.25
5.200,0.024,0.020532,0.020532,0.010,0.13,0.21
5.300,0.025,0.021246,0.021246,0.012,0.14,0.24
5.400,0.026,0.021118,0.021118,0.010,0.14,0.20
5.500,0.026,0.021942,0.021942,0.011,0.14,0.22
5.600,0.026,0.021832,0.021832,0.010,0.14,0.21
5.700,0.027,0.022537,0.022537,0.011,0.15,0.23
5.800,0.028,0.022647,0.022647,0.011,0.15,0.22
5.900,0.028,0.023266,0.023266,0.012,0.15,0.23
6.000,0.028,0.024179,0.024179,0.012,0.16,0.24
6.100,0.029,0.024090,0.024090,0.011,0.16,0.23
6.200,0.030,0.024943,0.024943,0.013,0.16,0.26
6.300,0.030,0.025467,0.025467,0.012,0.17,0.24
6.400,0.030,0.025583,0.025583,0.013,0.17,0.26
6.500,0.031,0.026060,0.026060,0.011,0.17,0.23
6.600,0.032,0.026733,0.026733,0.012,0.17,0.25
6.700,0.032,0.027687,0.027687,0.012,0.18,0.24
6.800,0.032,0.027829,0.027829,0.011,0.18,0.22
6.900,0.033,0.028238,0.028238,0.013,0.18,0.26
7.000,0.034,0.028602,0.028602,0.012,0.19,0.25
7.100,0.034,0.029035,0.029035,0.012,0.19,0.25
7.200,0.035,0.030051,0.030051,0.013,0.20,0.26
7.300,0.035,0.030223,0.030223,0.013,0.20,0.26
7.400,0.036,0.030489,0.030489,0.013,0.20,0.26
7.500,0.036,0.030934,0.030934,0.013,0.20,0.26
7.600,0.037,0.031271,0.031271,0.013,0.20,0.26
7.700,0.038,0.032451,0.032451,0.013,0.21,0.27
7.800,0.038,0.032139,0.032139,0.013,0.21,0.27
7.900,0.038,0.032424,0.032424,0.013,0.21,0.26
8.000,0.038,0.033375,0.033375,0.014,0.22,0.28
8.100,0.040,0.034193,0.034193,0.013,0.22,0.27
8.200,0.040,0.034219,0.034219,0.014,0.22,0.28
8.300,0.040,0.034868,0.034868,0.013,0.23,0.26
8.400,0.040,0.035280,0.035280,0.014,0.23,0.28
8.500,0.041,0.035858,0.035858,0.013,0.23,0.26
8.600,0.042,0.036335,0.036335,0.014,0.24,0.28
8.700,0.042,0.036755,0.036755,0.013,0.24,0.27
8.800,0.043,0.037185,0.037185,0.013,0.24,0.27
8.900,0.043,0.037662,0.037662,0.013,0.24,0.27
9.000,0.044,0.038228,0.038228,0.014,0.25,0.29
9.100,0.044,0.038660,0.038660,0.014,0.25,0.28
9.200,0.044,0.039117,0.039117,0.014,0.25,0.29
9.300,0.045,0.039644,0.039644,0.014,0.26,0.29
9.400,0.046,0.040293,0.040293,0.015,0.26,0.31
9.500,0.046,0.040634,0.040634,0.015,0.26,0.30
9.600,0.046,0.040770,0.040770,0.014,0.26,0.29
9.700,0.047,0.041312,0.041312,0.015,0.27,0.30
9.800,0.048,0.042225,0.042225,0.014,0.27,0.29
9.900,0.048,0.042823,0.042823,0.015,0.28,0.31
10.000,0.048,0.042847,0.042847,0.014,0.28,0.29
10.100,0.049,0.043101,0.043101,0.015,0.28,0.31
10.200,0.050,0.043733,0.043733,0.016,0.28,0.32
10.300,0.051,0.044541,0.044541,0.016,0.29,0.33
10.400,0.051,0.045131,0.045131,0.016,0.29,0.32
10.500,0.051,0.045190,0.045190,0.015,0.29,0.31
10.600,0.052,0.045584,0.045584,0.016,0.30,0.32
10.700,0.052,0.046043,0.046043,0.016,0.30,0.33
10.800,0.053,0.047095,0.047095,0.017,0.31,0.34
10.900,0.053,0.047463,0.047463,0.015,0.31,0.30
11.000,0.054,0.047694,0.047694,0.015,0.31,0.31
11.100,0.054,0.047990,0.047990,0.017,0.31,0.34
11.200,0.055,0.048437,0.048437,0.017,0.31,0.34
11.300,0.055,0.049057,0.049057,0.016,0.32,0.33
11.400,0.056,0.049554,0.049554,0.017,0.32,0.34
