"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,0.000252,0.000252,0.008,0.00,0.14
0.400,0.000,0.000871,0.000871,0.007,0.01,0.12
0.500,0.001,0.001293,0.001293,0.006,0.01,0.12
0.600,0.002,0.002059,0.002059,0.007,0.01,0.13
0.700,0.002,0.002415,0.002415,0.007,0.02,0.13
0.800,0.002,0.003026,0.003026,0.008,0.02,0.15
0.900,0.003,0.003601,0.003601,0.008,0.02,0.15
1.000,0.004,0.003857,0.003857,0.008,0.02,0.16
1.100,0.004,0.004400,0.004400,0.008,0.03,0.16
1.200,0.005,0.004974,0.004974,0.009,0.03,0.17
1.300,0.005,0.005272,0.005272,0.009,0.03,0.16
1.400,0.006,0.005820,0.005820,0.011,0.04,0.20
1.500,0.006,0.006302,0.006302,0.009,0.04,0.17
1.600,0.006,0.006952,0.006952,0.010,0.04,0.18
1.700,0.007,0.007549,0.007549,0.009,0.05,0.17
1.800,0.008,0.007996,0.007996,0.009,0.05,0.17
1.900,0.008,0.008022,0.008022,0.010,0.05,0.19
2.000,0.008,0.008789,0.008789,0.011,0.06,0.20
2.100,0.009,0.009116,0.009116,0.011,0.06,0.20
2.200,0.010,0.009765,0.009765,0.011,0.06,0.20
2.300,0.010,0.010261,0.010261,0.011,0.06,0.20
2.400,0.010,0.010583,0.010583,0.010,0.07,0.19
2.500,0.011,0.011347,0.011347,0.012,0.07,0.21
2.600,0.012,0.011584,0.011584,0.010,0.07,0.19
2.700,0.012,0.012147,0.012147,0.010,0.08,0.19
2.800,0.012,0.012597,0.012597,0.011,0.08,0.20
2.900,0.013,0.012972,0.012972,0.010,0.08,0.19
3.000,0.014,0.013817,0.013817,0.013,0.09,0.23
3.100,0.014,0.013793,0.013793,0.010,0.09,0.18
3.200,0.014,0.014723,0.014723,0.012,0.09,0.22
3.300,0.015,0.015176,0.015176,0.011,0.10,0.21
3.400,0.016,0.015396,0.015396,0.011,0.10,0.20
3.500,0.016,0.015791,0.015791,0.011,0.10,0.21
3.600,0.016,0.016729,0.016729,0.011,0.10,0.21
3.700,0.017,0.017453,0.017453,0.011,0.11,0.21
3.800,0.018,0.017847,0.017847,0.012,0.11,0.22
