"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,-0.000696,-0.000696,0.004,0.00,0.07
0.400,0.000,-0.000492,-0.000492,0.004,0.00,0.08
0.500,0.000,0.000044,0.000044,0.004,0.00,0.08
0.600,0.002,0.000895,0.000895,0.005,0.01,0.10
0.700,0.002,0.001342,0.001342,0.005,0.01,0.09
0.800,0.002,0.001304,0.001304,0.005,0.01,0.09
0.900,0.002,0.001970,0.001970,0.006,0.01,0.11
1.000,0.004,0.002669,0.002669,0.007,0.02,0.12
1.100,0.004,0.003318,0.003318,0.006,0.02,0.12
1.200,0.004,0.003413,0.003413,0.005,0.02,0.10
1.300,0.005,0.003777,0.003777,0.006,0.02,0.11
1.400,0.005,0.004397,0.004397,0.005,0.03,0.10
1.500,0.006,0.005143,0.005143,0.007,0.03,0.12
1.600,0.006,0.005576,0.005576,0.006,0.03,0.11
1.700,0.006,0.006165,0.006165,0.006,0.04,0.10
1.800,0.007,0.006399,0.006399,0.005,0.04,0.10
1.900,0.008,0.006829,0.006829,0.006,0.04,0.12
2.000,0.008,0.007451,0.007451,0.005,0.04,0.09
2.100,0.008,0.008035,0.008035,0.007,0.05,0.13
2.200,0.009,0.008441,0.008441,0.006,0.05,0.11
2.300,0.010,0.008927,0.008927,0.008,0.05,0.14
2.400,0.010,0.009244,0.009244,0.007,0.06,0.13
2.500,0.010,0.009895,0.009895,0.007,0.06,0.13
2.600,0.011,0.010420,0.010420,0.009,0.06,0.17
2.700,0.012,0.011199,0.011199,0.009,0.07,0.16
2.800,0.012,0.011335,0.011335,0.008,0.07,0.15
2.900,0.013,0.012242,0.012242,0.008,0.07,0.14
3.000,0.013,0.012423,0.012423,0.007,0.07,0.14
3.100,0.014,0.013193,0.013193,0.009,0.08,0.16
3.200,0.014,0.013436,0.013436,0.008,0.08,0.14
3.300,0.015,0.014553,0.014553,0.008,0.09,0.14
3.400,0.015,0.014079,0.014079,0.007,0.08,0.14
3.500,0.016,0.014396,0.014396,0.009,0.09,0.16
3.600,0.016,0.015249,0.015249,0.008,0.09,0.15
3.700,0.017,0.016585,0.016585,0.009,0.10,0.16
3.800,0.017,0.016624,0.016624,0.008,0.10,0.15
3.900,0.018,0.017243,0.017243,0.008,0.10,0.14
4.000,0.018,0.017382,0.017382,0.007,0.10,0.13
4.100,0.018,0.018330,0.018330,0.008,0.11,0.15
4.200,0.019,0.018695,0.018695,0.007,0.11,0.13
4.300,0.020,0.018775,0.018775,0.007,0.11,0.14
4.400,0.020,0.019109,0.019109,0.009,0.12,0.16
4.500,0.020,0.020289,0.020289,0.007,0.12,0.14
4.600,0.021,0.020549,0.020549,0.008,0.12,0.15
4.700,0.022,0.020786,0.020786,0.008,0.13,0.14
4.800,0.022,0.021660,0.021660,0.008,0.13,0.14
4.900,0.022,0.021666,0.021666,0.009,0.13,0.16
5.000,0.023,0.022597,0.022597,0.008,0.14,0.15
5.100,0.024,0.022958,0.022958,0.009,0.14,0.17
5.200,0.024,0.022914,0.022914,0.008,0.14,0.15
5.300,0.024,0.023607,0.023607,0.009,0.14,0.17
5.400,0.025,0.024502,0.024502,0.010,0.15,0.18
5.500,0.026,0.025079,0.025079,0.009,0.15,0.17
5.600,0.026,0.025435,0.025435,0.012,0.15,0.22
5.700,0.026,0.026066,0.026066,0.010,0.16,0.19
5.800,0.027,0.026137,0.026137,0.010,0.16,0.18
5.900,0.028,0.026727,0.026727,0.010,0.16,0.19
6.000,0.028,0.027130,0.027130,0.010,0.16,0.19
6.100,0.028,0.027746,0.027746,0.010,0.17,0.19
6.200,0.029,0.027814,0.027814,0.009,0.17,0.17
6.300,0.030,0.028605,0.028605,0.009,0.17,0.17
6.400,0.030,0.029221,0.029221,0.010,0.18,0.19
6.500,0.030,0.030217,0.030217,0.011,0.18,0.20
6.600,0.031,0.030540,0.030540,0.009,0.18,0.16
6.700,0.032,0.031088,0.031088,0.010,0.19,0.19
6.800,0.032,0.030993,0.030993,0.011,0.19,0.20
6.900,0.032,0.032136,0.032136,0.012,0.19,0.21
7.000,0.033,0.032459,0.032459,0.011,0.20,0.21
7.100,0.034,0.032963,0.032963,0.009,0.20,0.16
7.200,0.034,0.033470,0.033470,0.011,0.20,0.21
7.300,0.035,0.033846,0.033846,0.011,0.20,0.21
7.400,0.035,0.034279,0.034279,0.011,0.21,0.20
7.500,0.036,0.034767,0.034767,0.012,0.21,0.22
7.600,0.036,0.035318,0.035318,0.012,0.21,0.21
7.700,0.036,0.035955,0.035955,0.011,0.22,0.21
7.800,0.037,0.036237,0.036237,0.011,0.22,0.21
7.900,0.038,0.036856,0.036856,0.011,0.22,0.21
8.000,0.038,0.037274,0.037274,0.013,0.22,0.23
8.100,0.038,0.038003,0.038003,0.012,0.23,0.22
8.200,0.039,0.038435,0.038435,0.011,0.23,0.21
8.300,0.040,0.039007,0.039007,0.011,0.24,0.20
8.400,0.040,0.039051,0.039051,0.013,0.24,0.24
8.500,0.040,0.039685,0.039685,0.011,0.24,0.20
8.600,0.041,0.040562,0.040562,0.013,0.24,0.23
8.700,0.042,0.041433,0.041433,0.012,0.25,0.22
8.800,0.042,0.041872,0.041872,0.013,0.25,0.25
8.900,0.043,0.042307,0.042307,0.012,0.26,0.22
9.000,0.043,0.042607,0.042607,0.012,0.26,0.23
9.100,0.044,0.043632,0.043632,0.011,0.26,0.21
9.200,0.044,0.043970,0.043970,0.012,0.27,0.22
9.300,0.044,0.044346,0.044346,0.014,0.27,0.25
9.400,0.045,0.044506,0.044506,0.012,0.27,0.22
9.500,0.046,0.045315,0.045315,0.012,0.27,0.22
9.600,0.046,0.045883,0.045883,0.013,0.28,0.24
9.700,0.046,0.046500,0.046500,0.012,0.28,0.22
9.800,0.047,0.046965,0.046965,0.012,0.28,0.23
